libelleAcademie;codeAcademie;effectif16a29;nbDecrocheurs;rentreeScolaire;tauxDecrochage
AIX-MARSEILLE;18;6511;676;2020;10,4%
AMIENS;09;5353;566;2020;10,6%
BESANCON;02;2914;237;2020;8,1%
BORDEAUX;15;7453;701;2020;9,4%
CAEN;14;3237;299;2020;9,2%
CLERMONT-FERRAND;01;2801;236;2020;8,4%
CORSE;05;585;62;2020;10,6%
CRETEIL;10;10414;832;2020;8,0%
DIJON;02;3404;310;2020;9,1%
GRENOBLE;01;7738;679;2020;8,8%
GUADELOUPE;07;1688;116;2020;6,9%
GUYANE;08;1523;224;2020;14,7%
LA REUNION;11;4335;551;2020;12,7%
LILLE;09;12535;1523;2020;12,1%
LIMOGES;15;1414;181;2020;12,8%
LYON;01;6755;690;2020;10,2%
MARTINIQUE;12;1272;108;2020;8,5%
MAYOTTE;13;1149;112;2020;9,7%
MONTPELLIER;16;6511;756;2020;11,6%
NANCY-METZ;06;5948;560;2020;9,4%
NANTES;17;8558;765;2020;8,9%
NICE;18;4573;513;2020;11,2%
ORLEANS-TOURS;04;5423;426;2020;7,9%
PARIS;10;2619;158;2020;6,0%
POITIERS;15;3551;329;2020;9,3%
POLYNESIE FRANCAISE;00;;;2020;
REIMS;06;3275;365;2020;11,1%
RENNES;03;7369;491;2020;6,7%
ROUEN;14;4829;526;2020;10,9%
ST PIERRE ET MIQUELON;00;27;4;2020;14,8%
STRASBOURG;06;4239;346;2020;8,2%
TOULOUSE;16;6133;639;2020;10,4%
VERSAILLES;10;11615;906;2020;7,8%
