Etablissement d'accueil;MEF STAT 11;Voeu de recensement O/N;Statut Offre de formation;Capacité carte scolaire;Demandes vœux 1;Famille de métiers;nb_apparitions_uai_mefstat;mef_stat_terminale
0010001W;23820022703;N;ST;15;12;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830022703
0010001W;23820023303;N;ST;15;14;CONSTRUCTION DURABLE DU BATIMENT ET DES TRAVAUX PUBLICS;1;23830023303
0010001W;23820023404;N;ST;15;16;;1;23830023404
0010001W;23820025007;N;ST;15;14;PILOTAGE ET MAINTENANCE D'INSTALLATIONS AUTOMATISEES;1;23830025007
0010001W;23820025510;N;ST;15;20;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0010001W;23820025515;N;ST;15;22;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025515
0010001W;23820030004;N;ST;28;33;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0010001W;23820031106;N;ST;16;15;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830031106
0010001W;23820031114;N;ST;16;12;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830031114
0010001W;23820031213;N;ST;26;34;RELATION CLIENT;1;23830031213
0010001W;23820031214;N;ST;2;3;RELATION CLIENT;1;23830031214
0010001W;23210023446;N;ST;15;12;;1;
0010001W;23210025439;N;ST;15;15;;1;
0010001W;23210025524;N;ST;12;22;;1;
0010001W;23210031122;N;ST;15;11;;1;
0010001W;23210031224;N;ST;15;34;;1;
0010001W;23810020006;N;ST;15;12;;1;23830020006
0010001W;23810020104;N;ST;15;9;;1;23830020104
0010001W;23810023404;N;ST;15;11;;1;23830023404
0010001W;23810020008;N;ST;45;87;;1;23830020008
0010001W;23810030003;N;ST;56;62;;1;23830030003
0010001W;23810031211;N;ST;24;60;;1;23830031211
0011074M;23811021112;N;ST;25;15;;2;23831021112
0011074M;23811021112;N;ST;25;11;;2;23831021112
0011010T;23820025509;N;ST;15;8;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025509
0011010T;23820025510;N;ST;15;14;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0011010T;23820033004;N;ST;24;25;;1;23830033004
0011010T;23210022142;N;ST;12;10;;1;
0011010T;23210025524;N;ST;15;6;;1;
0011010T;23810020008;N;ST;30;29;;1;23830020008
0011010T;23810033005;N;ST;24;41;;1;23830033005
0011258M;23810020008;N;ST;15;9;;1;23830020008
0011258M;23810031211;N;ST;18;13;;1;23830031211
0011119L;23820020002;N;ST;15;13;REALISATION D'ENSEMBLE MECANIQUES ET INDUSTRIELS;1;23830020002
0011119L;23820022503;N;ST;15;19;;1;23830022503
0011119L;23820025007;N;ST;15;16;PILOTAGE ET MAINTENANCE D'INSTALLATIONS AUTOMATISEES;1;23830025007
0011119L;23820025107;N;ST;15;15;REALISATION D'ENSEMBLE MECANIQUES ET INDUSTRIELS;1;23830025107
0011119L;23820025515;N;ST;15;20;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025515
0011119L;23820032303;N;ST;15;29;;1;23830032303
0011119L;23210020101;N;ST;15;2;;1;
0011119L;23210032225;N;ST;12;18;;1;
0011119L;23810020002;N;ST;15;10;;1;23830020002
0011119L;23810020104;N;ST;15;20;;1;23830020104
0011119L;23810022503;N;ST;15;5;;1;23830022503
0011119L;23810020103;N;ST;15;9;;1;23830020103
0011119L;23810020008;N;ST;15;40;;1;23830020008
0011119L;23810032210;N;ST;24;12;;1;23830032210
0011119L;23810032303;N;ST;15;36;;1;23830032303
0010966V;23210022142;N;ST;8;12;;1;
0010966V;23210023224;N;ST;8;14;;1;
0010966V;23210023324;N;ST;8;15;;1;
0010966V;23210023327;N;ST;8;9;;1;
0010966V;23210025439;N;ST;8;5;;1;
0010966V;23210034307;N;ST;8;3;;1;
0010819K;23811021112;N;ST;32;33;;1;23831021112
0010819K;23811022104;N;ST;28;25;;1;23831022104
0011118K;23820025214;N;ST;40;35;MAINTENANCE DES MATERIELS ET DES VEHICULES;1;23830025214
0011118K;23820025215;N;ST;20;19;MAINTENANCE DES MATERIELS ET DES VEHICULES;1;23830025215
0011118K;23820025408;N;ST;12;10;;1;23830025408
0011118K;23820025410;N;ST;12;7;;1;23830025410
0011118K;23820031106;N;ST;16;18;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830031106
0011118K;23820031107;N;ST;24;21;;1;23830031107
0011118K;23820031114;N;ST;16;11;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830031114
0011118K;23820034304;N;ST;24;13;;1;23830034304
0011118K;23210022142;N;ST;24;25;;1;
0011118K;23210025218;N;ST;10;71;;1;
0011118K;23210025434;N;ST;10;23;;1;
0011118K;23210031122;N;ST;15;21;;1;
0011118K;23810025222;N;ST;60;70;;1;23830025222
0011118K;23810025408;N;ST;12;13;;1;23830025408
0011118K;23810025410;N;ST;12;2;;1;23830025410
0011118K;23810030003;N;ST;32;14;;1;23830030003
0011118K;23810031107;N;ST;24;38;;1;23830031107
0011118K;23810034304;N;ST;24;4;;1;23830034304
0010021T;23820024203;N;ST;15;14;;1;23830024203
0010021T;23820030004;N;ST;32;48;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0010021T;23820031212;N;ST;16;12;RELATION CLIENT;1;23830031212
0010021T;23820031213;N;ST;13;28;RELATION CLIENT;1;23830031213
0010021T;23820031214;N;ST;3;13;RELATION CLIENT;1;23830031214
0010021T;23820033003;N;ST;15;10;;1;23830033003
0010021T;23820033004;N;ST;30;41;;1;23830033004
0010021T;23820033603;N;ST;32;32;BEAUTE ET BIEN ETRE;1;23830033603
0010021T;23210031224;N;ST;12;42;;1;
0010021T;23210033205;N;ST;12;51;;1;
0010021T;23810024203;N;ST;15;24;;1;23830024203
0010021T;23810030003;N;ST;32;33;;1;23830030003
0010021T;23810031211;N;ST;32;96;;1;23830031211
0010021T;23810033005;N;ST;45;48;;1;23830033005
0010021T;23810033605;N;ST;32;96;;1;23830033605
0010016M;23820023203;N;ST;15;12;CONSTRUCTION DURABLE DU BATIMENT ET DES TRAVAUX PUBLICS;1;23830023203
0010016M;23820023405;N;ST;28;20;AGENCEMENT, MENUISERIE ET AMEUBLEMENT;1;23830023405
0010016M;23820025007;N;ST;15;12;PILOTAGE ET MAINTENANCE D'INSTALLATIONS AUTOMATISEES;1;23830025007
0010016M;23820025106;N;ST;15;12;;1;23830025106
0010016M;23820025510;N;ST;30;29;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0010016M;23820034403;N;ST;24;33;;1;23830034403
0010016M;23210034405;N;ST;15;28;;1;
0010016M;23810020006;N;ST;15;22;;1;23830020006
0010016M;23810020104;N;ST;15;10;;1;23830020104
0010016M;23810023409;N;ST;24;16;;1;23830023409
0010016M;23810020103;N;ST;15;15;;1;23830020103
0010016M;23810020008;N;ST;30;63;;1;23830020008
0010016M;23810034403;N;ST;18;68;;1;23830034403
0010099C;23210031224;N;ST;24;9;;1;
0010099C;23810020008;N;ST;45;54;;1;23830020008
0010099C;23810030003;N;ST;32;17;;1;23830030003
0010099C;23810031211;N;ST;50;44;;1;23830031211
0010099C;23810033005;N;ST;39;24;;1;23830033005
0011336X;23210031224;N;ST;15;8;;1;
0011336X;23810030003;N;ST;32;10;;1;23830030003
0011336X;23810031211;N;ST;32;12;;1;23830031211
0010020S;23820025219;N;ST;20;22;MAINTENANCE DES MATERIELS ET DES VEHICULES;1;23830025219
0010020S;23820025220;N;ST;30;30;MAINTENANCE DES MATERIELS ET DES VEHICULES;1;23830025220
0010020S;23820025221;N;ST;10;13;MAINTENANCE DES MATERIELS ET DES VEHICULES;1;23830025221
0010020S;23210025221;N;ST;10;21;;1;
0010020S;23810025222;N;ST;60;58;;1;23830025222
0010072Y;23820031213;N;ST;32;33;RELATION CLIENT;1;23830031213
0010072Y;23820033003;N;ST;15;15;;1;23830033003
0010072Y;23820033004;N;ST;15;16;;1;23830033004
0010072Y;23810031211;N;ST;24;59;;1;23830031211
0010072Y;23810033005;N;ST;30;27;;1;23830033005
0010814E;23210031224;N;ST;15;6;;1;
0010814E;23210033205;N;ST;15;3;;1;
0010814E;23810031211;N;ST;24;22;;1;23830031211
0010814E;23810033005;N;ST;24;18;;1;23830033005
0010059J;23811021112;N;ST;16;13;;2;23831021112
0010059J;23811021112;N;ST;27;85;;2;23831021112
0010059J;23811022103;N;ST;16;35;;1;23831022103
0011361Z;23211033003;N;ST;40;10;;1;
0011361Z;23811033001;N;ST;60;18;;1;23831033001
0011170S;23811021112;N;ST;35;1;;1;23831021112
0011057U;23211033003;N;ST;35;16;;1;
0011057U;23811022103;N;ST;35;5;;1;23831022103
0011057U;23811033001;N;ST;35;4;;1;23831033001
0010032E;23820033004;N;ST;30;31;;1;23830033004
0010032E;23210033205;N;ST;15;15;;1;
0010032E;23810033005;N;ST;30;30;;1;23830033005
0010034G;23820030004;N;ST;24;28;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0010034G;23820031213;N;ST;12;26;RELATION CLIENT;1;23830031213
0010034G;23820031214;N;ST;20;9;RELATION CLIENT;1;23830031214
0010034G;23210031224;N;ST;24;24;;1;
0010034G;23810030003;N;ST;24;40;;1;23830030003
0010034G;23810031211;N;ST;32;42;;1;23830031211
0011073L;23811021404;N;ST;44;41;;1;23831021404
0011073L;23811022103;N;ST;40;24;;1;23831022103
0011171T;23811033001;N;ST;40;30;;1;23831033001
0011058V;23211033003;N;ST;35;16;;1;
0011058V;23811033001;N;ST;45;32;;1;23831033001
0010006B;23820022106;N;ST;12;12;HOTELLERIE RESTAURATION;1;23830022106
0010006B;23820022703;N;ST;15;13;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830022703
0010006B;23820025510;N;ST;30;23;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0010006B;23820030004;N;ST;16;18;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0010006B;23820031213;N;ST;16;17;RELATION CLIENT;1;23830031213
0010006B;23820033403;N;ST;12;8;HOTELLERIE RESTAURATION;1;23830033403
0010006B;23210022139;N;ST;12;7;;1;
0010006B;23210022141;N;ST;12;24;;1;
0010006B;23210022142;N;ST;12;7;;1;
0010006B;23210025439;N;ST;12;4;;1;
0010006B;23210025524;N;ST;12;19;;1;
0010006B;23210033412;N;ST;12;4;;1;
0010006B;23810020008;N;ST;45;34;;1;23830020008
0010006B;23810030003;N;ST;16;26;;1;23830030003
0010006B;23810031211;N;ST;16;15;;1;23830031211
0010006B;23810033404;N;ST;24;24;;1;23830033404
0011056T;23811021209;N;ST;35;17;;1;23831021209
0011056T;23811022104;N;ST;35;8;;1;23831022104
0020498F;23210033205;N;ST;999;13;;1;
0020498F;23210033615;N;ST;999;13;;1;
0020498F;23810033005;N;ST;999;12;;1;23830033005
0020498F;23810033605;N;ST;999;18;;1;23830033605
0020012C;23820031212;N;ST;18;15;RELATION CLIENT;1;23830031212
0020012C;23820031213;N;ST;35;39;RELATION CLIENT;1;23830031213
0020012C;23820031214;N;ST;18;21;RELATION CLIENT;1;23830031214
0020012C;23820033004;N;ST;30;30;;1;23830033004
0020012C;23820030004;N;ST;17;20;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0020012C;23210022142;N;ST;12;13;;1;
0020012C;23210033205;N;ST;15;21;;1;
0020012C;23210033411;N;ST;15;7;;1;
0020012C;23810030003;N;ST;18;18;;1;23830030003
0020012C;23810031211;N;ST;70;81;;1;23830031211
0020012C;23810033005;N;ST;30;26;;1;23830033005
0021939X;23820020002;N;ST;15;10;REALISATION D'ENSEMBLE MECANIQUES ET INDUSTRIELS;1;23830020002
0021939X;23820025007;N;ST;15;12;PILOTAGE ET MAINTENANCE D'INSTALLATIONS AUTOMATISEES;1;23830025007
0021939X;23820025510;N;ST;30;19;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0021939X;23820025513;N;ST;15;8;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025513
0021939X;23820025514;N;ST;15;17;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025514
0021939X;23210023447;N;ST;15;16;;1;
0021939X;23210025439;N;ST;15;17;;1;
0021939X;23810020002;N;ST;15;7;;1;23830020002
0021939X;23810020104;N;ST;15;10;;1;23830020104
0021939X;23810020008;N;ST;60;54;;1;23830020008
0021999M;23810033404;N;ST;999;17;;1;23830033404
0022008X;23820022503;N;ST;15;9;;1;23830022503
0022008X;23820025007;N;ST;15;17;PILOTAGE ET MAINTENANCE D'INSTALLATIONS AUTOMATISEES;1;23830025007
0022008X;23820025509;N;ST;30;18;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025509
0022008X;23820025510;N;ST;30;20;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0022008X;23820031212;N;ST;17;10;RELATION CLIENT;1;23830031212
0022008X;23820031213;N;ST;35;55;RELATION CLIENT;1;23830031213
0022008X;23820031214;N;ST;18;31;RELATION CLIENT;1;23830031214
0022008X;23820030004;N;ST;35;28;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0022008X;23210022510;N;ST;15;17;;1;
0022008X;23210031224;N;ST;15;22;;1;
0022008X;23810022503;N;ST;15;11;;1;23830022503
0022008X;23810030003;N;ST;18;13;;1;23830030003
0022008X;23810031211;N;ST;70;48;;1;23830031211
0022008X;23810020104;N;ST;15;8;;1;23830020104
0022008X;23810020008;N;ST;45;39;;1;23830020008
0021906L;23210034405;N;ST;999;16;;1;
0021906L;23810031211;N;ST;999;6;;1;23830031211
0021906L;23810034403;N;ST;999;30;;1;23830034403
0021906L;23810025222;N;ST;999;9;;1;23830025222
0021906L;23810020008;N;ST;999;3;;1;23830020008
0021523V;23821021203;N;ST;4;10;MÉTIERS DU CONSEIL VENTE;1;23831021203
0021523V;23821033002;N;ST;7;7;;1;23831033002
0021523V;23211033003;N;ST;24;11;;1;
0021523V;23811022103;N;ST;26;62;;1;23831022103
0021523V;23811033001;N;ST;24;9;;1;23831033001
0020060E;23821021113;N;ST;5;0;MÉTIERS DES PRODUCTIONS;1;23831021113
0020060E;23821021004;N;ST;5;1;MÉTIERS DES PRODUCTIONS;1;23831021004
0020060E;23811021112;N;ST;31;29;;2;23831021112
0020060E;23811021112;N;ST;0;0;;2;23831021112
0021522U;23821021004;N;ST;4;0;MÉTIERS DES PRODUCTIONS;1;23831021004
0021522U;23821021001;N;ST;4;1;MÉTIERS DES PRODUCTIONS;1;23831021001
0021522U;23821021302;N;ST;1;2;MÉTIERS DE LA NATURE - JARDIN - PAYSAGE - FORÊT;1;23831021302
0021522U;23811021112;N;ST;16;30;;2;23831021112
0021522U;23811021404;N;ST;16;29;;1;23831021404
0021522U;23811021112;N;ST;26;28;;2;23831021112
0022002R;23810033005;N;ST;999;8;;1;23830033005
0022002R;23810020008;N;ST;999;7;;1;23830020008
0021479X;23820031212;N;ST;18;8;RELATION CLIENT;1;23830031212
0021479X;23820031213;N;ST;30;23;RELATION CLIENT;1;23830031213
0021479X;23820033004;N;ST;30;25;;1;23830033004
0021479X;23210033205;N;ST;15;38;;1;
0021479X;23210033411;N;ST;15;9;;1;
