UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11
0010001W;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique;32211022709;535;Scolaire;15;32022709;32022709;FAUX;32211022709
0010006B;BTS - Production - Electrotechnique - en apprentissage;32211025520;56;Apprentissage;12;32025520;32025520;FAUX;32211025520
0010006B;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air - en apprentissage;32211022710;89;Apprentissage;12;32022710;32022710;FAUX;32211022710
0010006B;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;35;Apprentissage;15;32033422;32033422;FAUX;32211033422
0010006B;BTS - Services - Professions immobilières;32211031309;485;Scolaire;24;32031309;32031309;FAUX;32211031309
0010014K;BTS - Services - Collaborateur juriste notarial;32211034502;543;Scolaire;24;32034502;32034502;FAUX;32211034502
0010014K;BTS - Services - Collaborateur juriste notarial - en apprentissage;32211034502;162;Apprentissage;24;32034502;32034502;FAUX;32211034502
0010014K;BTS - Services - Gestion de la PME;32211031409;429;Scolaire;35;32031409;32031409;FAUX;32211031409
0010014K;BTS - Services - Support à l'action managériale;32211032409;364;Scolaire;32;32032409;32032409;FAUX;32211032409
0010016M;BTS - Production - Bâtiment;32211023012;296;Scolaire;15;32023012;32023012;FAUX;32211023012
0010016M;BTS - Production - Bâtiment - en apprentissage;32211023012;166;Apprentissage;16;32023012;32023012;FAUX;32211023012
0010016M;BTS - Production - Conception de produits industriels;32211020009;151;Scolaire;13;32020009;32020009;FAUX;32211020009
0010016M;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;90;Scolaire;13;32022316;32022316;FAUX;32211022316
0010016M;BTS - Production - Electrotechnique;32211025520;290;Scolaire;24;32025520;32025520;FAUX;32211025520
0010016M;BTS - Services - Comptabilité et gestion;32211031408;410;Scolaire;37;32031408;32031408;FAUX;32211031408
0010016M;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;161;Apprentissage;15;32031408;32031408;FAUX;32211031408
0010016M;BTS - Services - Gestion de la PME - en apprentissage;32211031409;240;Apprentissage;25;32031409;32031409;FAUX;32211031409
0010016M;BTS - Services - Management Commercial Opérationnel;32211031213;708;Scolaire;35;32031213;32031213;FAUX;32211031213
0010016M;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;425;Apprentissage;25;32031213;32031213;FAUX;32211031213
0010016M;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;337;Apprentissage;20;32031212;32031212;FAUX;32211031212
0010016M;BTS - Services - Services informatiques aux organisations;32211032612;432;Scolaire;24;32032612;32032612;FAUX;32211032612
0010034G;BTS - Services - Gestion de la PME;32211031409;262;Scolaire;18;32031409;32031409;FAUX;32211031409
0010034G;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;168;Apprentissage;18;32031212;32031212;FAUX;32211031212
0010059J;BTS - Agricole - productions animales;32212021205;401;Scolaire;30;32021205;32021205;FAUX;32212021205
0010059J;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;32212031203;158;Scolaire;30;32031203;32031203;FAUX;32212031203
0010070W;BTS - Services - Comptabilité et gestion;32211031408;104;Scolaire;18;32031408;32031408;FAUX;32211031408
0010070W;BTS - Services - Gestion de la PME;32211031409;129;Scolaire;18;32031409;32031409;FAUX;32211031409
0010070W;BTS - Services - Gestion de la PME - en apprentissage;32211031409;64;Apprentissage;18;32031409;32031409;FAUX;32211031409
0010070W;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;123;Apprentissage;18;32031213;32031213;FAUX;32211031213
0010072Y;BTS - Services - Tourisme;32211033426;522;Scolaire;24;32033426;32033426;FAUX;32211033426
0010099C;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;125;Apprentissage;24;32031212;32031212;FAUX;32211031212
0010099C;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;55;Apprentissage;24;32032409;32032409;FAUX;32211032409
0010819K;BTS - Agricole - Sciences et technologies des aliments spécialité Aliments et processus technologiques;32212022113;232;Scolaire;32;32022113;32022113;FAUX;32212022113
0010826T;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;93;Apprentissage;24;32031212;32031212;FAUX;32211031212
0010856A;BTS - Production - Conception de produits industriels - en apprentissage;32211020009;47;Apprentissage;16;32020009;32020009;FAUX;32211020009
0010856A;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;32211022316;31;Apprentissage;12;32022316;32022316;FAUX;32211022316
