UAI;LIBELLÉFORMATION;MEFSTAT11;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP
0930126G;BTS - Services - Services informatiques aux organisations;32211032612;1129;Scolaire;24
0572590F;BTS - Production - Enveloppe des bâtiments : conception et réalisation;32211023205;171;Scolaire;15
0572590F;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique;32211022709;130;Scolaire;24
0572590F;BTS - Production - Travaux publics;32211023206;249;Scolaire;15
0572590F;BTS - Production - Motorisations toutes énergies;32211025219;152;Scolaire;10
0572590F;BTS - Production - Maintenance des véhicules option voitures particulières;32211025215;232;Scolaire;24
0570057C;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;839;Apprentissage;60
0570057C;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;843;Apprentissage;30
0570057C;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;327;Apprentissage;30
0570057C;BTS - Services - Tourisme - en apprentissage;32211033426;523;Apprentissage;30
0572757M;BTS - Production - Bioanalyses et contrôles;32211022207;508;Scolaire;15
0572757M;BTS - Services - Economie sociale familiale;32211033206;777;Scolaire;48
0573227Y;BTS - Production - Electrotechnique;32211025520;204;Scolaire;30
0573231C;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;32211020116;216;Scolaire;15
0573231C;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;32211020116;154;Scolaire;15
0573281G;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;32211020116;354;Scolaire;24
0573281G;BTS - Services - Communication;32211032003;1008;Scolaire;30
0573281G;BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image;32211032329;871;Scolaire;6
0573281G;BTS - Services - Métiers de l'audio-visuel opt : métiers du son;32211032330;487;Scolaire;6
0573281G;BTS - Services - Métiers de l'audio-visuel opt : montage et post-production;32211032332;669;Scolaire;6
0573281G;BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements;32211032331;209;Scolaire;6
0573320Z;BTS - Services - Management en hôtellerie restauration;32211033422;193;Scolaire;60
0596868V;BTS - Services - Opticien-Lunetier - en apprentissage;32211033107;320;Apprentissage;20
0573519R;BTS - Services - Opticien-Lunetier;32211033107;197;Scolaire;35
0573770N;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;32211033608;109;Scolaire;24
0580014A;BTS - Production - Métiers de l'eau;32211020114;426;Scolaire;24
0580031U;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;123;Scolaire;26
0580031U;BTS - Production - Electrotechnique;32211025520;135;Scolaire;16
0580032V;BTS - Services - Support à l'action managériale;32211032409;210;Scolaire;24
0580032V;BTS - Services - Management Commercial Opérationnel;32211031213;889;Scolaire;24
0383581L;BTS - Services - Communication - en apprentissage;32211032003;191;Apprentissage;30
0593063J;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;38;Apprentissage;12
0690279D;BTS - Agricole - Analyses biologiques, biotechnologiques, agricoles et environnementales - en apprentissage;32212022115;306;Apprentissage;28
0593117T;BTS - Services - Professions immobilières - en apprentissage;32211031309;286;Apprentissage;15
0593117T;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;215;Apprentissage;10
0592965C;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;94;Apprentissage;30
0594278E;BTS - Production - Assistance technique d'ingénieur - en apprentissage;32211025001;25;Apprentissage;14
0680073K;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;78;Apprentissage;4
0383581L;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;254;Apprentissage;30
0580032V;BTS - Services - Comptabilité et gestion;32211031408;146;Scolaire;18
0580032V;BTS - Services - Services informatiques aux organisations;32211032612;200;Scolaire;24
0580055V;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;32212021014;191;Scolaire;23
0580055V;BTS - Agricole - productions animales;32212021205;392;Scolaire;32
0580055V;BTS - Agricole - Gestion et maitrise de l'eau;32212034302;118;Scolaire;17
0580071M;BTS - Services - Support à l'action managériale;32211032409;196;Scolaire;24
0580071M;BTS - Services - Service et prestation des secteurs sanitaire et social;32211033002;135;Scolaire;23
0580071M;BTS - Services - Management Commercial Opérationnel;32211031213;200;Scolaire;24
0580552K;BTS - Services - Tourisme;32211033426;440;Scolaire;24
0580582T;BTS - Agricole - Aquaculture;32212021206;160;Scolaire;27
0580739N;BTS - Agricole - Aménagements paysagers - en apprentissage;32212021401;31;Apprentissage;24
0741710G;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;131;Apprentissage;40
0580761M;BTS - Services - Gestion de la PME;32211031409;131;Scolaire;18
0891185E;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;22;Apprentissage;20
0580071M;BTS - Production - Maintenance des véhicules option voitures particulières;32211025215;79;Scolaire;12
0590010R;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;268;Scolaire;33
0590010R;BTS - Services - Gestion de la PME;32211031409;262;Scolaire;33
0590010R;BTS - Services - Comptabilité et gestion;32211031408;201;Scolaire;23
0590011S;BTS - Production - Fonderie;32211022314;82;Scolaire;18
0590258K;BTS - Services - Communication - en apprentissage;32211032003;562;Apprentissage;15
0590011S;BTS - Production - Conception de produits industriels;32211020009;182;Scolaire;18
0590011S;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;32211020116;424;Scolaire;35
0590011S;BTS - Production - Métiers de la mesure;32211020115;204;Scolaire;18
0590011S;BTS - Production - Métiers de la chimie;32211022208;598;Scolaire;35
0590011S;BTS - Production - Assistance technique d'ingénieur;32211025001;162;Scolaire;18
0590011S;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;32211020116;497;Scolaire;18
0590018Z;BTS - Services - Management en hôtellerie restauration;32211033422;57;Scolaire;36
0590034S;BTS - Production - Electrotechnique;32211025520;344;Scolaire;30
0590034S;BTS - Services - Management Commercial Opérationnel;32211031213;604;Scolaire;35
0590034S;BTS - Services - Professions immobilières;32211031309;767;Scolaire;24
0590034S;BTS - Services - Comptabilité et gestion;32211031408;251;Scolaire;35
0590035T;BTS - Services - Support à l'action managériale;32211032409;176;Scolaire;28
0590035T;BTS - Services - Commerce International;32211031215;1056;Scolaire;28
0590035T;BTS - Services - Tourisme;32211033426;920;Scolaire;38
0590042A;BTS - Services - Gestion de la PME;32211031409;198;Scolaire;35
0590060V;BTS - Production - Maintenance des systèmes - option A Systèmes de production;32211025014;114;Scolaire;18
0590060V;BTS - Services - Conseil et commercialisation de solutions techniques;32211031216;197;Scolaire;36
0590064Z;BTS - Services - Support à l'action managériale;32211032409;194;Scolaire;22
0590064Z;BTS - Services - Commerce International;32211031215;449;Scolaire;35
0590064Z;BTS - Services - Management Commercial Opérationnel;32211031213;458;Scolaire;33
0590065A;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;32211020116;818;Scolaire;30
0590065A;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;32211022710;122;Scolaire;30
0590065A;BTS - Production - Electrotechnique;32211025520;145;Scolaire;30
9720932F;BTS - Services - Management opérationnel de la sécurité - en apprentissage;32211034401;35;Apprentissage;20
0610694Y;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;32211033608;46;Apprentissage;5
0290018M;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;71;Apprentissage;26
0353005B;BTS - Services - Service et prestation des secteurs sanitaire et social - en apprentissage;32211033002;136;Apprentissage;5
0755662X;BTS - Services - Assurance - en apprentissage;32211031311;132;Apprentissage;20
0755662X;BTS - Services - Banque conseiller de clientèle - en apprentissage;32211031310;308;Apprentissage;30
0755662X;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;81;Apprentissage;30
0755662X;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;151;Apprentissage;30
0755662X;BTS - Services - Collaborateur juriste notarial - en apprentissage;32211034502;384;Apprentissage;32
0755662X;BTS - Services - Gestion de la PME - en apprentissage;32211031409;140;Apprentissage;20
0352978X;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;76;Apprentissage;25
0352978X;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;69;Apprentissage;25
0831774C;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;45;Apprentissage;40
0831774C;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;46;Apprentissage;40
0222064Z;BTS - Production - Métiers de l'eau - en apprentissage;32211020114;21;Apprentissage;8
0590071G;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;406;Scolaire;35
0590071G;BTS - Services - Services informatiques aux organisations;32211032612;527;Scolaire;34
0590072H;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;90;Scolaire;15
0590072H;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;32211020116;526;Scolaire;45
0590072H;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;115;Scolaire;24
0590072H;BTS - Production - Conception et réalisation en chaudronnerie industrielle;32211025415;149;Scolaire;20
0590072H;BTS - Production - Electrotechnique;32211025520;470;Scolaire;33
0590072H;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux - en apprentissage;32211020116;87;Apprentissage;15
0590072H;BTS - Production - Conception et réalisation en chaudronnerie industrielle - en apprentissage;32211025415;55;Apprentissage;15
0590072H;BTS - Production - Electrotechnique - en apprentissage;32211025520;88;Apprentissage;24
0590073J;BTS - Services - Commerce International;32211031215;1323;Scolaire;35
0590073J;BTS - Services - Management Commercial Opérationnel;32211031213;594;Scolaire;35
0590073J;BTS - Services - Comptabilité et gestion;32211031408;727;Scolaire;35
0590083V;BTS - Production - Assistance technique d'ingénieur;32211025001;113;Scolaire;15
0590083V;BTS - Production - Traitement des matériaux - en apprentissage;32211022310;9;Apprentissage;7
0590083V;BTS - Services - Comptabilité et gestion;32211031408;1307;Scolaire;24
0590093F;BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production;32211022506;60;Scolaire;15
0590258K;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;203;Apprentissage;15
0590101P;BTS - Services - Management Commercial Opérationnel;32211031213;349;Scolaire;24
0590101P;BTS - Services - Comptabilité et gestion;32211031408;389;Scolaire;24
0590102R;BTS - Production - Techniques et services en matériels agricoles - en apprentissage;32211025213;44;Apprentissage;15
0590102R;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;171;Apprentissage;15
0590110Z;BTS - Services - Management Commercial Opérationnel;32211031213;697;Scolaire;35
0590110Z;BTS - Services - Comptabilité et gestion;32211031408;410;Scolaire;24
0590112B;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;209;Scolaire;35
0590117G;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;1251;Scolaire;35
0590117G;BTS - Services - Professions immobilières;32211031309;1570;Scolaire;59
0333440K;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;316;Apprentissage;20
0590121L;BTS - Production - Conception de produits industriels;32211020009;146;Scolaire;15
0590121L;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;381;Scolaire;15
0590121L;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique;32211022709;212;Scolaire;30
0590121L;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques;32211025015;128;Scolaire;15
0590121L;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;151;Scolaire;15
0590121L;BTS - Production - Electrotechnique;32211025520;252;Scolaire;30
0590121L;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;32211020116;485;Scolaire;15
0590121L;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique - en apprentissage;32211022709;116;Apprentissage;13
0590121L;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques - en apprentissage;32211025015;103;Apprentissage;13
0590121L;BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune;32211032209;514;Scolaire;45
0062307A;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;46;Apprentissage;30
0692955M;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;493;Apprentissage;50
0692955M;BTS - Services - Gestion de la PME - en apprentissage;32211031409;222;Apprentissage;25
0831770Y;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;138;Apprentissage;25
0831770Y;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;31;Apprentissage;10
0831769X;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;62;Apprentissage;15
0831769X;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;23;Apprentissage;10
0333405X;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;7;Apprentissage;25
0942461P;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;161;Apprentissage;50
0942461P;BTS - Services - Professions immobilières - en apprentissage;32211031309;193;Apprentissage;40
0942461P;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;82;Apprentissage;25
9740679V;BTS - Services - Tourisme;32211033426;170;Scolaire;15
0632002J;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;32211033608;53;Apprentissage;30
0401016M;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;116;Apprentissage;20
0672959C;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;128;Apprentissage;7
0672959C;BTS - Services - Gestion de la PME - en apprentissage;32211031409;21;Apprentissage;8
0672959C;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;21;Apprentissage;5
0682064Z;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;47;Apprentissage;20
