codeRegion;rentreeScolaire;tauxChomage
01;2022;19,3
02;2022;10,2
03;2022;10,9
04;2022;17,1
11;2022;6,8
24;2022;6,7
27;2022;6,2
28;2022;6,6
32;2022;8,7
44;2022;7
52;2022;5,7
53;2022;5,8
75;2022;6,3
76;2022;8,6
84;2022;6,1
93;2022;8
94;2022;6,1
01;2021;15,5
02;2021;10,9
03;2021;14,2
04;2021;19
11;2021;7,1
24;2021;6,7
27;2021;6,3
28;2021;7,1
32;2021;8,9
44;2021;7,3
52;2021;6,1
53;2021;5,9
75;2021;6,6
76;2021;8,8
84;2021;6,5
93;2021;8,4
94;2021;6,2
01;2020;19,7
02;2020;14,2
03;2020;20,5
04;2020;17,1
11;2020;7,7
24;2020;7,2
27;2020;6,8
28;2020;7,8
32;2020;9,4
44;2020;7,8
52;2020;6,9
53;2020;6,7
75;2020;7,3
76;2020;9,5
84;2020;7,1
93;2020;9,1
94;2020;7
