Commission professionnelle consultative;Secteur;Sous-secteur;Niveau;Code diplôme;Diplôme;Intitulé de la spécialité (et options);Code RNCP;Date de l'arrêté de création;Première session;Dernière session;Commentaire
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-23304 B;BAC PRO;Aménagement et finition du bâtiment;4423;2006-05-09;2008;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 4;400-23003 V;BAC PRO;Artisanat et métiers d'art option marchandisage visuel;36335;2007-03-20;2009;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 4;400-22402 M;BAC PRO;Artisanat et métiers d'art option verrerie scientifique et technique;36425;2005-07-11;2007;;.
CPC industrie;Secteur;Sous-secteur;Niveau 4;40025412R;BAC PRO;carrossier peintre automobile;;2022-12-30;2026;;remplace le 400-25408 R
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;400-31107 T;BAC PRO;Conducteur transport routier marchandises;16770;2010-06-03;2013;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25410 S;BAC PRO;Construction des carrosseries;14963;2010-04-08;2012;;est remplacé par le
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;400-22303 S;BAC PRO;Fonderie;6726;2009-04-30;2012;;Rénovation
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;400-25012 R;BAC PRO;Maintenance des systèmes de production connectés;35698;2020-12-09;2024;;Remplace le n°400-25007
CPC Mer et navigation intérieure;Secteur;Sous-secteur;Niveau 4;40025223R;BAC PRO;Maintenance nautique;37698;;2026;;remplace le 400250090R
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;400-25510 P;BAC PRO;Métiers de l'électricité et de ses environnements connectes;25353;2016-03-01;2019;;.
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 4;400-33604 T;BAC PRO;Métiers de la coiffure;34420;2019-06-28;2023;;Création
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 4;400-31214 T;BAC PRO;Métiers du commerce et de la vente option B prospection clientèle et valorisation commerciale;32259;2018-12-17;2022;;Remplace le n°40031206
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;400-24301 S;BAC PRO;Métiers du cuir option chaussures;24738;2009-05-19;2011;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;40025518M;BAC PRO;Optique Photonique : Technologies de la Lumière;37490;2023-02-28;2026;;Création
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;400-31114 M;BAC PRO;Organisation de transport de marchandises;34954;2020-02-28;2023;;Remplace le n°400-31108
CPC agriculture, agroalimentaire et aménagement des espaces;Secteur;Sous-secteur;Niveau 4;40022005U;BAC PRO;Production en Industries Pharmaceutiques, Alimentaires et Cosmétiques;37699;2023-04-27;2026;;remplace le n°400-22003 U
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;400-25514 R;BAC PRO;Systèmes numériques option B - audiovisuels, réseau et équipement domestiques;26334;2016-03-01;2019;2025;remplacé par le 40025519R
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;400-25515 R;BAC PRO;Systèmes numériques option C - réseaux informatiques et systèmes communicants;26335;2016-03-01;2019;2025;Rénovation
CPC Industrie;Secteur Bois et dérivés;Sous-secteur;Niveau 4;400-23407 S;BAC PRO;Technicien de fabrication bois et matériaux associes;4099;2006-02-22;2008;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;400-25013 S;BAC PRO;Technicien en réalisation de produits mécaniques, option Réalisation et maintenance des outillages;35697;2020-12-09;2024;;Remplace les n° 40025005 et 40025107 et 40025106
CPC Mer et navigation intérieure;Secteur;Sous-secteur;Niveau 4;;BAC PRO;Transport fluvial;;2023-07-18;2027;;remplace 400-31109 U
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 4;401-22313 V;BMA;Armurerie;37556;1992-08-20;1994;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 4;401-24108 V;BMA;Arts de la dentelle option aiguilles;5289;2007-03-20;2009;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 4;401-24106 V;BMA;Arts et techniques du tapis et de la tapisserie de lisse;1135;1993-08-05;1995;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 4;401-22408 V;BMA;Céramique;37552;1994-07-28;1996;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 4;401-23412 V;BMA;Ebéniste;18328;2014-02-03;2016;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 4;401-22319 V;BMA;Orfèvrerie option monture - tournure;en attente de va;2013-07-26;2016;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 4;401-22410 V;BMA;Souffleur de verre;en attente de va;2011-04-05;2013;;.
CPC Services aux entreprises;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;450-34402 T;BP;Agent technique de sécurité dans les transports;964;1997-09-03;1998;2024;abrogation session supplémentaire 2025
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 4;450-24106 S;BP;Ameublement tapisserie décoration;37236;1997-08-01;1998;;.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 4;450-22110 S;BP;Boucher;37310;2016-04-26;2018;;.
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 4;450-32203 W;BP;Libraire;7061;2009-04-09;2011;;.
CPC Services et produits de consommation;Secteur;Sous-secteur;Niveau 4;450-33408T;BP;Sommelier;37384;2022-12-30;2025;;remplace le 450-33405 T
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;45023201;BP;Tailleur de pierres monuments historiques;36849;1945-01-01;1946;;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 4;450-22002 R;BP;Techniques de laboratoire de recherche option A - biologie;1172;1999-01-12;2000;;abrogation CPC octobre 2023
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-25416 P;BTS;Architectures en métal : conception et réalisation;35336;2018-02-19;2020;;.
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-31311 T;BTS;Assurance;35473;2017-02-13;2019;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 5;320-23012 M;BTS;Bâtiment;1122;2011-06-23;2013;;.
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 5;320-31215 T;BTS;Commerce international;35800;2020-11-25;2023;;Remplace le n°320-31211
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32208 M;BTS;Edition;36965;2013-04-08;2015;;.
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 5;320-34303 R;BTS;Environnement nucléaire;12766;2011-06-27;2013;;.
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 5;320-23305 N;BTS;Etude et réalisation d'agencement;35471;2016-02-16;2018;;.
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-31409 T;BTS;Gestion de la PME;32360;2018-02-19;2020;;.
CPC industrie;Secteur;Sous-secteur;Niveau 5;320-22406 S;BTS;industries céramiques;37197;2022-12-19;2025;;remplace le 320-22404 S
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 5;320-25218 R;BTS;Maintenance des matériels de construction et de manutention;31290;2017-02-13;2019;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 5;320-25217 R;BTS;Maintenance des véhicules option C : motocycles;35460;2016-02-11;2018;;.
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 5;320-31213 T;BTS;Management commercial opérationnel;34031;2018-10-15;2021;;-
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 5;320-33423 P;BTS;Management en hôtellerie et restauration option A management d'unité de restauration;37889;2018-02-15;2020;;.
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32329 V;BTS;Métiers de l'audiovisuel option métiers de l'image;37021;2013-06-04;2016;;.
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32330 V;BTS;Métiers de l'audiovisuel option métiers du son;37196;2013-06-04;2016;;.
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32332 V;BTS;Métiers de l'audiovisuel option montage et postproduction;37020;2013-06-04;2016;;.
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 5;320-33603 T;BTS;Métiers de l'esthétique-cosmétique-parfumerie, option A management;20693;2012-10-30;2015;2024;remplacé par le 320-33609 T
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 5;320-33605 T;BTS;Métiers de l'esthétique-cosmétique-parfumerie, option C cosmétologie;20693;2012-10-30;2015;2024;remplacé par le 320-33611 T
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 5;320-24207 M;BTS;Métiers de la mode - vêtements;36777;2012-02-07;2014;;.
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33107 W;BTS;Opticien lunetier;1084;1997-09-03;1999;;-
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 5;320-23412 M;BTS;Systèmes constructifs bois et habitat;18315;2014-02-10;2016;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-22311 M;BTS;Traitements des matériaux option a : traitements thermiques;1186;2001-08-06;2003;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 5;320-23206 S;BTS;Travaux publics;37199;2022-12-22;2025;;remplace le 320-23107 S
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 3;500-25306 M;CAP;Aéronautique option systèmes;37700;2013-08-19;2015;;.
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 3;500-34002 M;CAP;Agent de prévention et de médiation;37240;2004-07-06;2006;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22361 V;CAP;Art et techniques de la bijouterie-joaillerie option bijouterie-joaillerie;36336;2008-03-18;2010;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22362 V;CAP;Art et techniques de la bijouterie-joaillerie option bijouterie-sertissage;36336;2008-03-18;2010;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22363 V;CAP;Art et techniques de la bijouterie-joaillerie option polissage-finition;36336;2008-03-18;2010;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts de la reliure;Niveau 3;500-32228 V;CAP;Arts de la reliure;37539;2017-10-31;2019;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 3;500-32313 V;CAP;Assistant technique en instruments de musique option guitare;36255;2001-09-05;2003;;.
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 3;500-33411 T;CAP;Assistant technique en milieux familial et collectif;2817;2004-08-11;2007;2024;est remplacé par le 50033002T
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22350 V;CAP;Bronzier option B - ciseleur sur bronze;531;1977-07-13;1979;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-23420 S;CAP;Cannage et paillage en ameublement;534;1990-07-12;1992;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-23325 S;CAP;Carreleur mosaïste;35380;2019-04-15;2021;;-
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 3;500-23446 S;CAP;Charpentier bois;35113;2020-04-10;2022;;Remplace le n°500-23440 et 500-23439
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-22133 S;CAP;Chocolatier-confiseur;37303;2002-08-21;2004;;Rénovation en cours
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;500-23118 U;CAP;Conducteur d'engins : travaux publics et carrières;37891;2022-08-29;2025;;Rénovation en cours
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-23223 S;CAP;Couvreur;35889;2021-03-30;2023;;Remplace le n°500-23218
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 3;500-25524 S;CAP;Electricien;30328;2018-02-08;2020;;.
