codeDiscipline;libelleDiscipline
L0421;Allemand 
L0422;Anglais 
L0423;Arabe 
L1800;Arts Plastiques 
L7100;Biochimie-Genie Biologique 
L7200;Biotechnologies Sante-Environnement 
P7200;Biotechnologies Sante-Environnement 
L0424;Chinois 
P7420;Coiffure 
P6310;Conducteurs Routiers 
P2450;Construction Et Reparation Carrosserie 
P3013;Dessin Calcul Topographique 
L0080;Documentation 
P6621;Ebenisterie D'Art 
L8011;Eco Et Gest.Option Comm, Org, Grh 
P8013;Eco-Gest Option Commerce Et Vente 
P8039;Eco-Gest Option Gestion-Administration 
P8038;Eco-Gest Option Transport Logistique 
L8012;Eco-Gest.Option Comptabilite Et Finance 
L8031;Eco-Gest.Option Concept Et Gest Des Si 
L8013;Eco-Gest.Option Marketing 
Y0011;Edu.Dev.App (Psyen Eda) 
Y0012;Edu.Dev.Cons.Ori (Psyen Edo) 
E0030;Education (Cpe) 
L1700;Education Musicale 
L1900;Education Physique Et Sportive 
L6500;Enseignements Artistiques Et Arts Appliq 
P6500;Enseignements Artistiques Et Arts Appliq 
L0426;Espagnol 
P7410;Esthetique Cosmetique 
P4550;G.Meca Maintenance Syst Meca Et  Automat 
P2600;Genie Chimique 
P3010;Genie Civil Construction Et Economie 
P3020;Genie Civil Construction Et Realisation 
P5200;Genie Electrique Option Electrotechnique 
P5100;Genie Electrique: Electronique 
P2100;Genie Industriel Bois 
P2400;Genie Industriel Des Structures Metalliq 
P2200;Genie Industriel Textiles Et Cuirs 
P4100;Genie Mecanique Construction 
P4200;Genie Mecanique Productique 
P4500;Genie Mecanique-Maintenance Vehicules 
P3100;Genie Thermique 
L1000;Histoire Geographie 
P8520;Hotellerie Opt Service Et Commercialisat 
P8510;Hotellerie Opt Techniques Culinaires 
L8530;Hotellerie Opt Tourisme 
L8520;Hotel-Rest Option Serv Et Accueil 
P6100;Industries Graphiques 
L0429;Italien 
L0430;Japonais 
P0222;Lettres Anglais 
L0201;Lettres Classiques 
P0226;Lettres Espagnol 
P0210;Lettres Histoire Geographie 
L0202;Lettres Modernes 
L8015;Managem. Unites Commerciales (En T.S.) 
P1315;Math.Sciences Physiques 
L1300;Mathematiques 
L8017;Negociation Relat. Client (En T.S) 
L0444;Occitan - Langue D'Oc 
P3028;Peinture-Revetement 
L0100;Philosophie 
L1510;Physique Et Electricite Appliquee 
L0433;Portugais 
L0434;Russe 
L1600;Sciences De La Vie Et De La Terre 
L1100;Sciences Economiques Et Sociales 
L7300;Sciences Et Techniques Medico-Sociales 
P7300;Sciences Et Techniques Medico-Sociales 
L1500;Sciences Physiques Et Chimiques 
L1411;Sii Opt Ingenierie Des Constructions 
L1412;Sii Opt Ingenierie Electrique 
L1413;Sii Opt Ingenierie Informatique 
L1414;Sii Option Ingenierie Mecanique 
L1400;Technologie 
