CFD_COMMUN;FAMILLE;CFD_SPECIALITE;SPECIALITE;RS CFDannee1;Date ouverture CFDannee1;Date fermeture CFDannee1;RS CFDannee2;Date ouverture CFDannee2;Date fermeture CFDannee2;CODE_MINISTERE_TUTELLE
32032612;Services informatiques aux organisations;32032613;Services informatiques aux organisations option A solutions d'infrastructures, systèmes et réseaux;2020|2021|2022|2023;01/09/2020;;2021|2022|2023;01/09/2021;;38
32032612;Services informatiques aux organisations;32032614;Services informatiques aux organisations option B solutions logicielles et applications métiers;2020|2021|2022|2023;01/09/2020;;2021|2022|2023;01/09/2021;;38
32033422;Management en hôtellerie restauration;32033423;Management en hôtellerie et restauration option A management d'unité de restauration;2018|2019|2020|2021|2022|2023;01/09/2018;;2018|2019|2020|2021|2022|2023;01/09/2018;;38
32033422;Management en hôtellerie restauration;32033424;Management en hôtellerie et restauration option B management d'unité de production culinaire;2018|2019|2020|2021|2022|2023;01/09/2018;;2018|2019|2020|2021|2022|2023;01/09/2018;;38
32033422;Management en hôtellerie restauration;32033425;Management en hôtellerie et restauration option C management d'hébergement	;2018|2019|2020|2021|2022|2023;01/09/2018;;2018|2019|2020|2021|2022|2023;01/09/2018;;38
32032209;Etudes de réalisation d'un projet de communication;32032210;Etudes de réalisation d'un projet de communication option A études de réalisation de produits pluri média;2017|2018|2019|2020|2021|2022|2023;01/09/2017;;2017|2018|2019|2020|2021|2022|2023;01/09/2017;;38
32032209;Etudes de réalisation d'un projet de communication;32032211;Etudes de réalisation d'un projet de communication option B études de réalisation de produits imprimés;2017|2018|2019|2020|2021|2022|2023;01/09/2017;;2017|2018|2019|2020|2021|2022|2023;01/09/2017;;38
32022316;Conception des processus de réalisation de produits;32022318;Conception des processus de réalisation de produits option A production unitaire;2016|2017|2018|2019|2020|2021|2022|2023;01/09/2016;;2016|2017|2018|2019|2020|2021|2022|2023;01/09/2016;;38
32022316;Conception des processus de réalisation de produits;32022317;Conception des processus de réalisation de produits option B production sérielle;2016|2017|2018|2019|2020|2021|2022|2023;01/09/2016;;2016|2017|2018|2019|2020|2021|2022|2023;01/09/2016;;38
32033606;Métiers de l'esthétique-cosmétique-parfumerie;32033603;Métiers de l'esthétique-cosmétique-parfumerie, option A management;2013|2014|2015|2016|2017|2018|2019|2020|2021|2022;01/09/2013;31/08/2023;2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023;01/09/2013;31/08/2024;38
32033606;Métiers de l'esthétique-cosmétique-parfumerie;32033604;Métiers de l'esthétique-cosmétique-parfumerie, option B formation-marques;2013|2014|2015|2016|2017|2018|2019|2020|2021|2022;01/09/2013;31/08/2023;2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023;01/09/2013;31/08/2024;38
32033606;Métiers de l'esthétique-cosmétique-parfumerie;32033605;Métiers de l'esthétique-cosmétique-parfumerie, option C cosmétologie;2013|2014|2015|2016|2017|2018|2019|2020|2021|2022;01/09/2013;31/08/2023;2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023;01/09/2013;31/08/2024;38
32022310;Traitement des matériaux;32022311;Traitement des matériaux option A traitements thermiques;2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023;01/09/2001;;2016|2017|2018|2019|2020|2021|2022|2023;01/09/2016;;38
32022310;Traitement des matériaux;32022312;Traitement des matériaux option B traitements des surfaces;2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023;01/09/2001;;2016|2017|2018|2019|2020|2021|2022|2023;01/09/2016;;38
32033608;Métiers de l'esthétique, de la cosmétique et de la parfumerie;32033603;Métiers de l'esthétique-cosmétique-parfumerie, option A management;2023;01/09/2023;;2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023;01/09/2013;31/08/2024;38
32033608;Métiers de l'esthétique, de la cosmétique et de la parfumerie;32033604;Métiers de l'esthétique-cosmétique-parfumerie, option B formation-marques;2023;01/09/2023;;2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023;01/09/2013;31/08/2024;38
32033608;Métiers de l'esthétique, de la cosmétique et de la parfumerie;32033605;Métiers de l'esthétique-cosmétique-parfumerie, option C cosmétologie;2023;01/09/2023;;2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023;01/09/2013;31/08/2024;38
