code_rome;code_fiche_metier;code_ogr;libelle_rome;transition_eco;transition_num;transition_demo;emploi_reglemente;emploi_cadre;code_rome_parent
A1101;11;6;Conducteur / Conductrice d'engins agricoles;;;;;;A1101
A1102;30047;403950;Conducteur / Conductrice d'engins d'exploitation forestière;;;;;;A1101
A1201;19;7;Bûcheronnage et élagage;;;;;;
A1202;15;8;Entretien des espaces naturels;;;;;;
A1203;16;9;Aménagement et entretien des espaces verts;;;;;;
A1204;13;10;Protection du patrimoine naturel;;;;;;
A1205;18;11;Sylviculture;;;;;;
A1301;27;12;Conseil et assistance technique en agriculture et environnement naturel;;;;;;
A1302;25;13;Contrôle et diagnostic technique en agriculture;;;;;;
A1303;29;14;Ingénierie en agriculture et environnement naturel;;;;;;
A1304;30050;403951;Conseiller / Conseillère technique agricole;;;;;;A1301
A1401;34;15;Aide agricole de production fruitière ou viticole;;;;;;
A1402;32;16;Aide agricole de production légumière ou végétale;;;;;;
A1403;31;17;Aide d'élevage agricole et aquacole;;;;;;
A1404;52;18;Aquaculture;;;;;;
A1405;43;19;Arboriculture et viticulture;;;;;;
A1406;61;20;Encadrement équipage de la pêche;;;;;;
A1407;45;21;Élevage bovin ou équin;;;;;;
A1408;51;22;Élevage d'animaux sauvages ou de compagnie;;;;;;
A1409;48;23;Élevage de lapins et volailles;;;;;;
A1410;46;24;Élevage ovin ou caprin;;;;;;
A1411;47;25;Élevage porcin;;;;;;
A1412;58;26;Fabrication et affinage de fromages;;;;;;
A1413;60;27;Fermentation de boissons alcoolisées;;;;;;
A1414;37;28;Horticulture et maraîchage;;;;;;
A1415;56;29;Équipage de la pêche;;;;;;
A1416;36;30;Polyculture, élevage;;;;;;
A1417;54;31;Saliculture;;;;;;
A1418;30052;403953;Viticulteur / Viticultrice;;;;;;A1405
A1419;30053;403955;Ouvrier agricole polyvalent / Ouvrière agricole polyvalente;;;;;;A1416
A1420;30051;403956;Chef / Cheffe de culture responsable d'unité de production;;;;;;A1405
A1421;30054;403957;Palefrenier soigneur / Palefrenière soigneuse;;;;;;A1403
A1501;66;32;Aide aux soins animaux;;;;;;
A1502;69;33;Podologie animale;;;;;;
A1503;68;34;Toilettage des animaux;;;;;;
A1504;72;35;Santé animale;;;;;;
B1101;8;36;Création en arts plastiques;;;;;;
B1201;9;37;Réalisation d'objets décoratifs et utilitaires en céramique et matériaux de synthèse;;;;;;
B1301;12;38;Décoration d'espaces de vente et d'exposition;;;;;;
B1302;17;39;Décoration d'objets d'art et artisanaux;;;;;;
