Etablissement d'accueil;Sigle de l'établissement d'accueil;Libellé de l'établissement d'accueil;Commune de l'établissement d'accueil;Département de l'établissement d'accueil;Libellé du MEF national de rattachement;Type de MEF;Code Ministère;Secteur ;Palier minimum autorisé pour la saisie du voeu;Voeu de recensement O/N;Statut Offre de formation;Capacité carte scolaire;Capacité d'affectation;Demandes vœux 1;Affectés voeu 1;Affectés tous vœux
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO MENUISERIE ALUMINIUM-VERRE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;19;15;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;19;15;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;22;15;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;28;28;27;26;28
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO LOGISTIQUE (Nouveau);National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;20;16;16
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO ORGANIS. TRANSPORT MARCHANDISES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;11;11;16
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;14;23;29;18;23
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;14;1;12;1;1
0011010T;LP;DU BUGEY;BELLEY;AIN;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;14;14;14
0011119L;LPO LYC METIER;ARBEZ CARME;BELLIGNAT;AIN;1ERPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;16;15;15
0011119L;LPO LYC METIER;ARBEZ CARME;BELLIGNAT;AIN;1ERPRO REAL.PR.IMPR.PLURI.OPTA.PR.GRAPH.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;0;0;0;0;0
0011119L;LPO LYC METIER;ARBEZ CARME;BELLIGNAT;AIN;1ERPRO REAL.PR.IMPR.PLURI.OPTB.PR.IMPR.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;30;28;30
0011118K;LP LYC METIER;GABRIEL VOISIN;BOURG-EN-BRESSE;AIN;1ERPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;40;40;45;39;40
0011118K;LP LYC METIER;GABRIEL VOISIN;BOURG-EN-BRESSE;AIN;1ERPRO MAINT.VEHIC.OPTB VEHIC.TRANS.ROUT;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;20;20;17;16;18
0011118K;LP LYC METIER;GABRIEL VOISIN;BOURG-EN-BRESSE;AIN;1ERPRO LOGISTIQUE (Nouveau);National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;16;11;16
