Académie;ID_ETAB;CO_MEFSTAT;CO_STA;FL_VRECENS;VAL_CARSCO
Aix-Marseille;0131445A;23810033605;ST;N;24
Aix-Marseille;0133396W;23C10023305;ST;N;15
Aix-Marseille;0040007L;23810020006;ST;N;30
Aix-Marseille;0040011R;23810031211;ST;N;75
Aix-Marseille;0040023D;23810033404;ST;N;24
Aix-Marseille;0040007L;23810033005;ST;N;30
Aix-Marseille;0040011R;23810033404;ST;N;24
Aix-Marseille;0040007L;23810030003;ST;N;15
Aix-Marseille;0040011R;23810030003;ST;N;15
Aix-Marseille;0040023D;23810030003;ST;N;15
Aix-Marseille;0050008G;23810031107;ST;N;24
Aix-Marseille;0050008G;23810023007;ST;N;30
Aix-Marseille;0050009H;23810033404;ST;N;24
Aix-Marseille;0050009H;23810033005;ST;N;30
Aix-Marseille;0050009H;23810030003;ST;N;15
Aix-Marseille;0050027C;23810031211;ST;N;45
Aix-Marseille;0050005D;23810023404;ST;N;15
Aix-Marseille;0130161E;23810033005;ST;N;30
Aix-Marseille;0130161E;23810031211;ST;N;60
Aix-Marseille;0130161E;23810030003;ST;N;30
Aix-Marseille;0840113S;23810033404;ST;N;24
Aix-Marseille;0840113S;23810030003;ST;N;45
Aix-Marseille;0840021S;23810034403;ST;N;30
Aix-Marseille;0130146N;23810031107;ST;N;12
Aix-Marseille;0130146N;23810020006;ST;N;24
Aix-Marseille;0130146N;23810030003;ST;N;24
Aix-Marseille;0130146N;23810025408;ST;N;10
Aix-Marseille;0130146N;23810031211;ST;N;24
Aix-Marseille;0040003G;23810031211;ST;N;15
Aix-Marseille;0840763Y;23810025222;ST;N;30
Aix-Marseille;0840763Y;23810025408;ST;N;20
Aix-Marseille;0840763Y;23810020008;ST;N;24
Aix-Marseille;0840763Y;23810020103;ST;N;24
Aix-Marseille;0840046U;23810033005;ST;N;24
Aix-Marseille;0840046U;23810031211;ST;N;48
Aix-Marseille;0840046U;23810030003;ST;N;24
Aix-Marseille;0840046U;23810033006;ST;N;12
Aix-Marseille;0131747D;23810030003;ST;N;30
Aix-Marseille;0130059U;23810030003;ST;N;30
Aix-Marseille;0130059U;23810033101;ST;N;30
Aix-Marseille;0130059U;23810032304;ST;N;30
Aix-Marseille;0130059U;23810033103;ST;N;15
Aix-Marseille;0131606A;23810031211;ST;N;60
Aix-Marseille;0131606A;23810030003;ST;N;24
Aix-Marseille;0131606A;23810024203;ST;N;24
Aix-Marseille;0130068D;23810031211;ST;N;48
Aix-Marseille;0130068D;23810030003;ST;N;12
Aix-Marseille;0130151U;23810033005;ST;N;36
Aix-Marseille;0130151U;23810031211;ST;N;48
Aix-Marseille;0130055P;23810022003;ST;N;24
Aix-Marseille;0130055P;23810030003;ST;N;24
Aix-Marseille;0130071G;23810033005;ST;N;24
Aix-Marseille;0130071G;23810031211;ST;N;72
Aix-Marseille;0130071G;23810030003;ST;N;24
Aix-Marseille;0050003B;23810030003;ST;N;15
Aix-Marseille;0130050J;23810023007;ST;N;24
Aix-Marseille;0130050J;23810020006;ST;N;12
Aix-Marseille;0840039L;23810020006;ST;N;45
Aix-Marseille;0840039L;23810031107;ST;N;12
Aix-Marseille;0840039L;23810023007;ST;N;45
Aix-Marseille;0130001F;23810033005;ST;N;30
Aix-Marseille;0130001F;23810033006;ST;N;15
Aix-Marseille;0130058T;23810025009;ST;N;20
Aix-Marseille;0130058T;23810034403;ST;N;24
