Commission professionnelle consultative;Secteur;Sous-secteur;Niveau;Code diplôme;Diplôme;Intitulé de la spécialité (et options);Code RNCP;Date de l'arrêté de création;Première session;Dernière session
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 4;400-33004 T;Baccalauréat professionnel;Accompagnement soins et services à la personne option B - en structure;12301;2011-05-11;2014;2024
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;400-25304 M;Baccalauréat professionnel;Aéronautique option structure;17477;2013-04-12;2016;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-23304 B;Baccalauréat professionnel;Aménagement et finition du bâtiment;4423;2006-05-09;2008;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-23205 B;Baccalauréat professionnel;Interventions sur le patrimoine bâti option A - maçonnerie;5534;2013-12-20;2016;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-23206 B;Baccalauréat professionnel;Interventions sur le patrimoine bâti option B - charpente;5534;2013-12-20;2016;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25216 R;Baccalauréat professionnel;Maintenance des véhicules option C - motocycles;19117;2014-03-19;2017;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-23303 B;Baccalauréat professionnel;Menuiserie aluminium-verre;4431;2006-05-09;2008;
CPC Services aux entreprises;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;400-34403 T;Baccalauréat professionnel;Métiers de la sécurité;19114;2014-03-19;2017;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;400-25517 R;Baccalauréat professionnel;Métiers du froid et des Energies renouvelables;35846;2021-03-10;2024;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 4;400-32304 V;Baccalauréat professionnel;Photographie;13913;2012-02-09;2015;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 4;400-22503 S;Baccalauréat professionnel;Plastiques et composites;7585;2009-07-08;2011;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 4;400-22004 U;Baccalauréat professionnel;Procédés de la chimie, de l'eau et des papiers-cartons;14901;2012-04-13;2015;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 4;400-32207 S;Baccalauréat professionnel;Réalisation de produits imprimés et pluri média option A - productions graphiques;18394;2014-03-12;2017;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;400-25513 R;Baccalauréat professionnel;Systèmes numériques option A - sûreté et sécurité des infrastructures, de l'habitat et du tertiaire;25354;2016-03-01;2019;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;400-25106 S;Baccalauréat professionnel;Technicien d'usinage;420;2004-02-16;2006;2023
CPC Industrie;Secteur Bois et dérivés;Sous-secteur;Niveau 4;400-23406 S;Baccalauréat professionnel;Technicien de scierie;4098;2006-02-22;2008;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;400-23203 S;Baccalauréat professionnel;Technicien du bâtiment : organisation et réalisation du gros œuvre;4888;1997-09-03;1998;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;400-25411 N;Baccalauréat professionnel;Technicien en chaudronnerie industrielle;29885;2018-02-26;2021;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-22705 S;Baccalauréat professionnel;Technicien gaz;34745;2017-03-02;2020;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;400-22302 S;Baccalauréat professionnel;Traitements des matériaux;656;1999-07-28;2001;
CPC Mer et navigation intérieure;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;400-31109 U;Baccalauréat professionnel;Transport fluvial;17127;2013-04-11;2015;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 4;401-22318 V;Brevet des métiers d'arts;Art du bijou option bijouterie polissage finition;809;2010-02-18;2012;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 4;401-24108 V;Brevet des métiers d'arts;Arts de la dentelle option aiguilles;5289;2007-03-20;2009;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Gravure;Niveau 4;401-32207 S;Brevet des métiers d'arts;Orfèvrerie option gravures - ciselure;;2013-07-26;2016;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 4;401-23410 V;Brevet des métiers d'arts;Technicien en facture instrumentale option guitare;36340;2003-07-08;2005;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 4;401-23411 V;Brevet des métiers d'arts;Technicien en facture instrumentale option piano;36340;2003-07-08;2005;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 4;401-23301 V;Brevet des métiers d'arts;Volume staff et matériaux associés;811;1993-03-19;1995;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;450-33407 T;Brevet professionnel;Arts du service et commercialisation en restauration;23588;2015-01-07;2017;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 4;450-32401 T;Brevet professionnel;Bureautique;972;1997-09-03;1998;2023
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 4;450-22107 S;Brevet professionnel;Charcutier-traiteur;975;1998-12-03;2000;
CPC Mer et navigation intérieure;Secteur Bois et dérivés;Sous-secteur;Niveau 4;450-23407 S;Brevet professionnel;Charpentier de marine;4750;2007-03-20;2009;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 4;450-22202 U;Brevet professionnel;Conducteur d'appareils des industries chimiques;418;2003-06-06;2005;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-23213 S;Brevet professionnel;Couvreur;32239;2015-04-28;2017;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;450-23317 S;Brevet professionnel;Etanchéité du bâtiment et des travaux publics;31066;2018-04-03;2020;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 4;450-31207 T;Brevet professionnel;Fleuriste;36005;2021-05-03;2024;
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 4;450-23408 S;Brevet professionnel;Menuisier;18317;2014-02-03;2016;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-23314 S;Brevet professionnel;Métiers du plâtre et de l'isolation;32238;2016-05-13;2018;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 4;450-22501 S;Brevet professionnel;Mise en œuvre des caoutchoucs et des élastomères thermoplastiques;1002;1997-09-03;1998;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-22709 S;Brevet professionnel;Monteur en installations du génie climatique et sanitaire;32241;2014-03-14;2016;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-23315 S;Brevet professionnel;Peintre applicateur de revêtements;32235;2016-05-13;2018;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;;Brevet professionnel;Tailleur de pierres monuments historiques;;1945-01-01;1946;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 4;450-22002 R;Brevet professionnel;Techniques de laboratoire de recherche option A - biologie;1172;1999-01-12;2000;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-25001 P;Brevet de technicien supérieur;Assistance technique d'ingénieur;1029;1998-07-30;1999;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 5;320-22207 R;Brevet de technicien supérieur;Bio analyses et contrôle;2705;2004-06-25;2006;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 5;;Brevet de technicien supérieur;Communication;;2022-12-19;2024;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-31408 T;Brevet de technicien supérieur;Comptabilité et gestion;35521;2014-11-03;2017;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 5;320-20113 R;Brevet de technicien supérieur;Contrôle industriel et régulation automatique;35384;2016-02-16;2018;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33206 T;Brevet de technicien supérieur;Economie sociale familiale;;2022-01-24;2024;
