Rentrée scolaire;UAI;Mef Bcp 11;Nombre d'élèves : Total
2020;0750330B;32211022207;83
2020;0750419Y;23210031122;32
2020;0750419Y;23820031106;26
2020;0750428H;23210033204;24
2020;0750428H;23220033204;21
2020;0750428H;23820033002;21
2020;0750428H;23830033002;25
2020;0750436S;23220031214;18
2020;0750463W;23220022427;14
2020;0750502N;32730013401;21
2020;0750553U;23830025510;47
2020;0750558Z;23810024203;12
2020;0750558Z;23820024203;22
2020;0750588G;23810031211;61
2020;0750588G;23820031213;43
2020;0750612H;32810022001;98
2020;0750612H;32820022001;96
2020;0750647W;32211031408;56
2020;0750650Z;23210033107;7
2020;0750650Z;23220033107;7
2020;0750650Z;23820024301;6
2020;0750650Z;23830033103;18
2020;0750650Z;32211033204;24
2020;0750650Z;32221024305;20
2020;0750650Z;32221033204;21
2020;0750650Z;32311033104;28
2020;0750650Z;32311033105;22
2020;0750650Z;32321033105;15
2020;0750651A;23810030003;24
2020;0750651A;23820030001;23
2020;0750651A;23830031210;24
2020;0750651A;32211031212;26
2020;0750651A;32221031409;18
2020;0750671X;23820031212;24
2020;0750671X;32211031211;34
2020;0750672Y;32720013401;131
2020;0750672Y;32810022001;36
2020;0750674A;32211031211;23
2020;0750674A;32211031213;38
2020;0750674A;32211031409;23
2020;0750674A;32221031211;15
2020;0750674A;32221031212;34
2020;0750674A;32221031409;20
2020;0750676C;23210025521;7
2020;0750676C;23810023007;14
2020;0750676C;23820022403;11
2020;0750676C;23830022402;11
2020;0750676C;32221025516;23
2020;0750677D;23110033615;13
2020;0750677D;23220033616;34
2020;0750677D;32221033607;8
2020;0750681H;23220022361;30
2020;0750681H;32810022001;36
2020;0750685M;32221022103;26
2020;0750686N;32710013401;128
2020;0750688R;32211033001;29
2020;0750690T;32211031213;73
2020;0750691U;23820022703;12
2020;0750691U;32221022709;23
2020;0750691U;32221022711;20
2020;0750691U;32221025011;24
2020;0750692V;32211031212;40
2020;0750695Y;23830033101;22
2020;0750697A;32221020008;21
2020;0750697A;32221023107;23
2020;0750705J;32211031408;23
2020;0750705J;32221031408;19
2020;0750707L;32211032409;69
2020;0750707L;32221031213;65
2020;0750707L;32221031409;26
2020;0750707L;32A21031403;84
2020;0750707L;32A31031403;71
2020;0750708M;23910022105;8
2020;0750711R;32211020112;24
2020;0750711R;32211025516;24
2020;0750711R;32221020112;15
2020;0750711R;32221031213;23
2020;0750712S;23810025006;23
2020;0750712S;32211020009;28
2020;0750712S;32211020111;17
2020;0750712S;32211025516;24
2020;0750712S;32221025516;18
2020;0750712S;32710013401;14
2020;0750712S;32720013401;12
2020;0750715V;32211032409;27
2020;0750715V;32221032409;21
2020;0750770E;23820030001;44
2020;0750770E;23820031212;20
2020;0750775K;23810025516;116
2020;0750775K;23830025515;75
2020;0750776L;23820024203;38
2020;0750776L;23830024203;35
2020;0750778N;23220024322;12
2020;0750783U;23810025007;41
2020;0750783U;23830025411;21
2020;0750784V;23210022349;4
2020;0750784V;23210023445;22
2020;0750785W;23830025515;47
2020;0750785W;32211033110;14
2020;0750787Y;23210032227;17
2020;0750787Y;23220032225;7
2020;0750787Y;23C20032208;5
2020;0750788Z;23810025510;94
2020;0750788Z;23910022704;24
2020;0750793E;23820031213;25
2020;0750793E;23830031202;24
2020;0750796H;23210024242;13
2020;0750796H;23810024203;14
2020;0750800M;23210033411;26
2020;0750802P;23210023327;11
2020;0750802P;23220022715;17
2020;0750802P;23220023220;8
2020;0750802P;23220025431;9
2020;0750802P;23830023005;19
2020;0750802P;23830023203;7
2020;0750828T;23210025437;8
2020;0750828T;23220025524;17
