UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11;nb_apparitions
0010001W;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique;32211022709;164;Scolaire;17;32022709;32022709;FAUX;32211022709;1
0010006B;BTS - Production - Electrotechnique - en apprentissage;32211025520;60;Apprentissage;12;32025520;32025520;FAUX;32211025520;1
0010006B;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air - en apprentissage;32211022710;115;Apprentissage;12;32022710;32022710;FAUX;32211022710;1
0010006B;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;41;Apprentissage;15;32033422;32033422;FAUX;32211033422;1
0010006B;BTS - Services - Professions immobilières;32211031309;721;Scolaire;26;32031309;32031309;FAUX;32211031309;1
0010014K;BTS - Services - Collaborateur juriste notarial;32211034502;765;Scolaire;24;32034502;32034502;FAUX;32211034502;1
0010014K;BTS - Services - Collaborateur juriste notarial - en apprentissage;32211034502;220;Apprentissage;24;32034502;32034502;FAUX;32211034502;1
0010014K;BTS - Services - Gestion de la PME;32211031409;661;Scolaire;35;32031409;32031409;FAUX;32211031409;1
0010014K;BTS - Services - Support à l'action managériale;32211032409;442;Scolaire;32;32032409;32032409;FAUX;32211032409;1
0010016M;BTS - Production - Bâtiment;32211023012;291;Scolaire;15;32023012;32023012;FAUX;32211023012;1
0010016M;BTS - Production - Bâtiment - en apprentissage;32211023012;202;Apprentissage;15;32023012;32023012;FAUX;32211023012;1
0010016M;BTS - Production - Conception de produits industriels;32211020009;259;Scolaire;13;32020009;32020009;FAUX;32211020009;1
0010016M;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;153;Scolaire;13;32022316;32022316;FAUX;32211022316;1
0010016M;BTS - Production - Electrotechnique;32211025520;195;Scolaire;24;32025520;32025520;FAUX;32211025520;1
0010016M;BTS - Services - Comptabilité et gestion;32211031408;476;Scolaire;40;32031408;32031408;FAUX;32211031408;1
0010016M;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;212;Apprentissage;15;32031408;32031408;FAUX;32211031408;1
0010016M;BTS - Services - Gestion de la PME - en apprentissage;32211031409;246;Apprentissage;25;32031409;32031409;FAUX;32211031409;1
0010016M;BTS - Services - Management Commercial Opérationnel;32211031213;765;Scolaire;35;32031213;32031213;FAUX;32211031213;1
0010016M;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;487;Apprentissage;30;32031213;32031213;FAUX;32211031213;1
0010016M;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;359;Apprentissage;35;32031212;32031212;FAUX;32211031212;1
0010016M;BTS - Services - Services informatiques aux organisations;32211032612;381;Scolaire;24;32032612;32032612;FAUX;32211032612;1
0010034G;BTS - Services - Gestion de la PME;32211031409;236;Scolaire;18;32031409;32031409;FAUX;32211031409;1
0010034G;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;240;Apprentissage;18;32031212;32031212;FAUX;32211031212;1
0010059J;BTS - Agricole - productions animales;32212021205;354;Scolaire;30;32021205;32021205;FAUX;32212021205;1
0010059J;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;32212031203;326;Scolaire;30;32031203;32031203;FAUX;32212031203;1
0010070W;BTS - Services - Comptabilité et gestion;32211031408;117;Scolaire;26;32031408;32031408;FAUX;32211031408;1
0010070W;BTS - Services - Gestion de la PME;32211031409;122;Scolaire;18;32031409;32031409;FAUX;32211031409;1
0010070W;BTS - Services - Gestion de la PME - en apprentissage;32211031409;75;Apprentissage;18;32031409;32031409;FAUX;32211031409;1
0010070W;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;153;Apprentissage;18;32031213;32031213;FAUX;32211031213;1
0010072Y;BTS - Services - Tourisme;32211033426;571;Scolaire;24;32033426;32033426;FAUX;32211033426;1
0010072Y;BTS - Services - Tourisme - en apprentissage;32211033426;138;Apprentissage;4;32033426;32033426;FAUX;32211033426;1
0010099C;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;148;Apprentissage;24;32031212;32031212;FAUX;32211031212;1
0010099C;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;94;Apprentissage;16;32032612;32032612;FAUX;32211032612;1
0010099C;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;71;Apprentissage;18;32032409;32032409;FAUX;32211032409;1
0010819K;BTS - Agricole - QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) aliments et processus technologiques;32212022117;189;Scolaire;32;32022117;32022117;FAUX;32212022117;1
0010826T;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;91;Apprentissage;24;32031213;32031213;FAUX;32211031213;1
0010826T;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;72;Apprentissage;24;32031212;32031212;FAUX;32211031212;1
0010856A;BTS - Production - Conception de produits industriels - en apprentissage;32211020009;53;Apprentissage;16;32020009;32020009;FAUX;32211020009;1
0010856A;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;32211022316;30;Apprentissage;16;32022316;32022316;FAUX;32211022316;1
0010856A;BTS - Production - Conception et réalisation en chaudronnerie industrielle - en apprentissage;32211025415;40;Apprentissage;14;32025415;32025415;FAUX;32211025415;1
0010856A;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux - en apprentissage;32211020116;83;Apprentissage;14;32020116;32020116;FAUX;32211020116;1
0010856A;BTS - Production - Electrotechnique - en apprentissage;32211025520;73;Apprentissage;32;32025520;32025520;FAUX;32211025520;1
0010856A;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;64;Apprentissage;32;32025014;32025014;FAUX;32211025014;1
0010856A;BTS - Services - Conseil et commercialisation de solutions techniques - en apprentissage;32211031216;48;Apprentissage;15;32031216;32031216;FAUX;32211031216;1
0010878Z;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;58;Apprentissage;15;32031213;32031213;FAUX;32211031213;1
0010878Z;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;46;Apprentissage;15;32031212;32031212;FAUX;32211031212;1
0010878Z;BTS - Services - Professions immobilières - en apprentissage;32211031309;75;Apprentissage;15;32031309;32031309;FAUX;32211031309;1
0010965U;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique - en apprentissage;32211022709;99;Apprentissage;15;32022709;32022709;FAUX;32211022709;1
0010965U;BTS - Production - Travaux publics - en apprentissage;32211023206;95;Apprentissage;15;32023206;32023206;FAUX;32211023206;1
0011058V;BTS - Services - Economie sociale familiale - en apprentissage;32211033206;61;Apprentissage;15;32033206;32033206;FAUX;32211033206;1
0011073L;BTS - Agricole - Aménagements paysagers - en apprentissage;32212021401;54;Apprentissage;20;32021401;32021401;FAUX;32212021401;1
0011073L;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;104;Apprentissage;20;32031213;32031213;FAUX;32211031213;1
0011074M;BTS - Agricole - Agronomie et cultures durables - en apprentissage;32212021115;21;Apprentissage;20;32021115;32021115;FAUX;32212021115;1
0011074M;BTS - Agricole - productions animales - en apprentissage;32212021205;4;Apprentissage;20;32021205;32021205;FAUX;32212021205;1
0011118K;BTS - Services - Gestion des transports et logistique associée;32211031103;470;Scolaire;34;32031103;32031103;FAUX;32211031103;1
0011119L;BTS - Production - Conception de produits industriels;32211020009;134;Scolaire;17;32020009;32020009;FAUX;32211020009;1
0011119L;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;73;Scolaire;15;32022316;32022316;FAUX;32211022316;1
0011119L;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;32211022316;44;Apprentissage;16;32022316;32022316;FAUX;32211022316;1
0011119L;BTS - Production - Europlastics et composites à référentiel commun européen - option Conception d'Outillage;32211022505;24;Scolaire;8;32022505;32022505;FAUX;32211022505;1
