UAI;LIBELLÉFORMATION;MEFSTAT11;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP
0711782B;BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux - en apprentissage;32212031202;54;Apprentissage;8
0252041H;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;235;Apprentissage;30
0930126G;BTS - Services - Services informatiques aux organisations;32211032612;1292;Scolaire;24
0572590F;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique;32211022709;122;Scolaire;24
0572590F;BTS - Production - Travaux publics;32211023206;112;Scolaire;15
0572590F;BTS - Production - Motorisations toutes énergies;32211025219;120;Scolaire;10
0572590F;BTS - Production - Maintenance des véhicules option voitures particulières;32211025215;151;Scolaire;24
0570057C;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;914;Apprentissage;60
0570057C;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;835;Apprentissage;30
0570057C;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;196;Apprentissage;30
0570057C;BTS - Services - Tourisme - en apprentissage;32211033426;535;Apprentissage;30
0572757M;BTS - Services - Economie sociale familiale;32211033206;497;Scolaire;48
0573227Y;BTS - Production - Electrotechnique;32211025520;125;Scolaire;15
0573231C;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;32211025521;89;Scolaire;15
0573281G;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;32211025521;339;Scolaire;24
0573281G;BTS - Services - Communication;32211032003;1007;Scolaire;30
0573281G;BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image;32211032329;884;Scolaire;6
0573281G;BTS - Services - Métiers de l'audio-visuel opt : métiers du son;32211032330;427;Scolaire;6
0573281G;BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements;32211032331;202;Scolaire;6
0573320Z;BTS - Services - Management en hôtellerie restauration;32211033422;209;Scolaire;60
0573770N;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;32211033608;109;Scolaire;24
0580014A;BTS - Production - Métiers de l'eau;32211020114;117;Scolaire;28
0580031U;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;58;Scolaire;12
0580032V;BTS - Services - Management Commercial Opérationnel;32211031213;252;Scolaire;24
0383581L;BTS - Services - Communication - en apprentissage;32211032003;114;Apprentissage;15
