Etablissement d'accueil;Sigle de l'établissement d'accueil;Libellé de l'établissement d'accueil;Commune de l'établissement d'accueil;Département de l'établissement d'accueil;Libellé voie d’orientation;Mnémonique MEF national de rattachement;Code spécialité du MEF national de rattachement;MEF STAT 11;Libellé du MEF national de rattachement;Type de MEF;Code Ministère;Secteur ;Palier minimum autorisé pour la saisie du voeu;Voeu de recensement O/N;Statut Offre de formation;Capacité carte scolaire;Capacité d'affectation;Taux de pression (Total demandes vœux 1 / Capacité carte scolaire);Demandes vœux 1;Demandes tous vœux;Affectés voeu 1;Affectés tous vœux
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;22707.0;23820022707;1ERPRO INSTAL.CHAUF.CLIMAT.ENERG.RENOUV.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;1,4;21;51;13;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;23303.0;23820023303;1ERPRO MENUISERIE ALUMINIUM-VERRE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;0,87;13;17;13;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;23404.0;23820023404;1ERPRO TECHNICIEN CONSTRUCTEUR BOIS;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;0,93;14;18;13;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;25012.0;23820025012;1ERPRO MAINTENANCE SYST.PRODUC.CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;0,93;14;27;12;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;25411.0;23820025411;1ERPRO TECH.CHAUDRONNERIE INDUSTRIELLE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;1,47;22;27;13;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;25520.0;23820025520;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;1,47;22;64;14;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;30004.0;23820030004;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;28;28;1,25;35;85;26;28
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;31106.0;23820031106;1ERPRO LOGISTIQUE (Nouveau);National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;1,63;26;81;12;16
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;31114.0;23820031114;1ERPRO ORGANIS. TRANSPORT MARCHANDISES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;1,19;19;69;15;16
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;31213.0;23820031213;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;14;28;3,57;50;90;27;28
