Rentrée scolaire,Académie 2020,Académie 2020 Lib L,UAI,Patronyme,Adresse condensée,Code postal,Commune d'implantation,Commune d'implantation Lib L,Commune et arrondissement,Commune et arrondissement Lib L,Secteur d'enseignement Lib L,Mef Bcp 11,Mef Bcp 11 Lib L,Mef Bcp 6,Mef Bcp 6 Lib L,Nombre d'élèves : Total,Nombre d'élèves : Filles,Nombre d'élèves : Garçons
2024.0,10.0,LYON,0010001W,ALEXANDRE BERARD,A BERARD RUE BERARD,1500.0,01004,AMBERIEU-EN-BUGEY,01004,AMBERIEU-EN-BUGEY,SECTEUR PUBLIC,23210025524,1CAP2  ELECTRICIEN,232100,CAP EN 2 ANS : 1ERE ANNEE,12.0,0.0,12.0
2024.0,10.0,LYON,0010001W,ALEXANDRE BERARD,A BERARD RUE BERARD,1500.0,01004,AMBERIEU-EN-BUGEY,01004,AMBERIEU-EN-BUGEY,SECTEUR PUBLIC,23810020103,2NDPRO MET.REAL.ENS.MEC.IND.2NDE COMMUNE,238100,BAC PRO EN 3 ANS : 2NDE PRO,14.0,1.0,13.0
2024.0,10.0,LYON,0010001W,ALEXANDRE BERARD,A BERARD RUE BERARD,1500.0,01004,AMBERIEU-EN-BUGEY,01004,AMBERIEU-EN-BUGEY,SECTEUR PUBLIC,23810020104,2NDPRO MET.PIL.MAINT.INST.AUTO.2NDE COMM,238100,BAC PRO EN 3 ANS : 2NDE PRO,15.0,1.0,14.0
2024.0,10.0,LYON,0010001W,ALEXANDRE BERARD,A BERARD RUE BERARD,1500.0,01004,AMBERIEU-EN-BUGEY,01004,AMBERIEU-EN-BUGEY,SECTEUR PUBLIC,23820031106,1RE PRO3 LOGISTIQUE (Nouveau),238200,BAC PRO EN 3 ANS : 1ERE PRO,17.0,6.0,11.0
2024.0,10.0,LYON,0010001W,ALEXANDRE BERARD,A BERARD RUE BERARD,1500.0,01004,AMBERIEU-EN-BUGEY,01004,AMBERIEU-EN-BUGEY,SECTEUR PUBLIC,23820031213,1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.,238200,BAC PRO EN 3 ANS : 1ERE PRO,29.0,13.0,16.0
2024.0,10.0,LYON,0010001W,ALEXANDRE BERARD,A BERARD RUE BERARD,1500.0,01004,AMBERIEU-EN-BUGEY,01004,AMBERIEU-EN-BUGEY,SECTEUR PUBLIC,23830031106,TLE PRO3 LOGISTIQUE (Nouveau),238300,BAC PRO EN 3 ANS : TERMINALE PRO,15.0,6.0,9.0
2024.0,10.0,LYON,0010001W,ALEXANDRE BERARD,A BERARD RUE BERARD,1500.0,01004,AMBERIEU-EN-BUGEY,01004,AMBERIEU-EN-BUGEY,SECTEUR PUBLIC,32221022709,2BTS2  FLUID.EN.DOM.OPTA GEN.CLIM.FLUID.,322210,BTS EN 2 ANS : 2EME ANNEE,8.0,0.0,8.0
2024.0,10.0,LYON,0010006B,SAINT-EXUPERY,SAINT-EXUPERY AV ST-EXUPERY,1200.0,01033,VALSERHONE,01033,VALSERHONE,SECTEUR PUBLIC,23210022141,1CAP2  PATISSIER,232100,CAP EN 2 ANS : 1ERE ANNEE,12.0,5.0,7.0
2024.0,10.0,LYON,0010006B,SAINT-EXUPERY,SAINT-EXUPERY AV ST-EXUPERY,1200.0,01033,VALSERHONE,01033,VALSERHONE,SECTEUR PUBLIC,23210022142,"1CAP2  PROD.SERV.REST. (RAPID,COLL,CAFE)",232100,CAP EN 2 ANS : 1ERE ANNEE,11.0,2.0,9.0
2024.0,10.0,LYON,0010006B,SAINT-EXUPERY,SAINT-EXUPERY AV ST-EXUPERY,1200.0,01033,VALSERHONE,01033,VALSERHONE,SECTEUR PUBLIC,23210025524,1CAP2  ELECTRICIEN,232100,CAP EN 2 ANS : 1ERE ANNEE,10.0,0.0,10.0
2024.0,10.0,LYON,0010006B,SAINT-EXUPERY,SAINT-EXUPERY AV ST-EXUPERY,1200.0,01033,VALSERHONE,01033,VALSERHONE,SECTEUR PUBLIC,23220033412,2CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,232200,CAP EN 2 ANS : 2EME ANNEE,7.0,3.0,4.0
2024.0,10.0,LYON,0010006B,SAINT-EXUPERY,SAINT-EXUPERY AV ST-EXUPERY,1200.0,01033,VALSERHONE,01033,VALSERHONE,SECTEUR PUBLIC,23810033404,2NDPRO MET.HOTEL.-RESTAUR. 2NDE COMMUNE,238100,BAC PRO EN 3 ANS : 2NDE PRO,21.0,7.0,14.0
2024.0,10.0,LYON,0010006B,SAINT-EXUPERY,SAINT-EXUPERY AV ST-EXUPERY,1200.0,01033,VALSERHONE,01033,VALSERHONE,SECTEUR PUBLIC,23820030004,1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES,238200,BAC PRO EN 3 ANS : 1ERE PRO,16.0,10.0,6.0
2024.0,10.0,LYON,0010006B,SAINT-EXUPERY,SAINT-EXUPERY AV ST-EXUPERY,1200.0,01033,VALSERHONE,01033,VALSERHONE,SECTEUR PUBLIC,23830030004,TLEPRO ASSISTANC.GEST.ORGANIS.ACTIVITES,238300,BAC PRO EN 3 ANS : TERMINALE PRO,16.0,16.0,0.0
2024.0,10.0,LYON,0010006B,SAINT-EXUPERY,SAINT-EXUPERY AV ST-EXUPERY,1200.0,01033,VALSERHONE,01033,VALSERHONE,SECTEUR PUBLIC,23830033403,TLE PRO3 COMMERC. SERVICES EN RESTAURATION,238300,BAC PRO EN 3 ANS : TERMINALE PRO,5.0,3.0,2.0
2024.0,10.0,LYON,0010010F,DU BUGEY,DU BUGEY R DU 5EME RTM,1306.0,01034,BELLEY,01034,BELLEY,SECTEUR PUBLIC,23220025524,2CAP2  ELECTRICIEN,232200,CAP EN 2 ANS : 2EME ANNEE,11.0,0.0,11.0
2024.0,10.0,LYON,0010010F,DU BUGEY,DU BUGEY R DU 5EME RTM,1306.0,01034,BELLEY,01034,BELLEY,SECTEUR PUBLIC,23810020008,2NDPRO MET.TRANSIT.NUMER.ENERG.2NDE COMM,238100,BAC PRO EN 3 ANS : 2NDE PRO,23.0,0.0,23.0
2024.0,10.0,LYON,0010014K,EDGAR QUINET,E QUINET 5 AV JM VERNE,1001.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,32211034502,1BTS2  COLLABORATEUR JURISTE NOTARIAL,322110,BTS EN 2 ANS : 1ERE ANNEE,23.0,19.0,4.0
2024.0,10.0,LYON,0010016M,JOSEPH-MARIE CARRIAT,J M CARRIAT 1 R DE CROUY,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23810020006,2NDPRO MET.CON.DUR.BAT.&TRA.PUB.2NDE COM,238100,BAC PRO EN 3 ANS : 2NDE PRO,15.0,1.0,14.0
2024.0,10.0,LYON,0010016M,JOSEPH-MARIE CARRIAT,J M CARRIAT 1 R DE CROUY,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23810034403,2DE PRO3 METIERS DE LA SECURITE,238100,BAC PRO EN 3 ANS : 2NDE PRO,18.0,8.0,10.0
2024.0,10.0,LYON,0010016M,JOSEPH-MARIE CARRIAT,J M CARRIAT 1 R DE CROUY,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23820023405,1RE PRO3  TECHNICIEN MENUISIER AGENCEUR,238200,BAC PRO EN 3 ANS : 1ERE PRO,24.0,3.0,21.0
2024.0,10.0,LYON,0010016M,JOSEPH-MARIE CARRIAT,J M CARRIAT 1 R DE CROUY,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23820025014,1ERPRO TEC.REAL.PR.MEC.OP.REAL.SUIV.PRO.,238200,BAC PRO EN 3 ANS : 1ERE PRO,14.0,0.0,14.0
2024.0,10.0,LYON,0010016M,JOSEPH-MARIE CARRIAT,J M CARRIAT 1 R DE CROUY,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23830023405,TLE PRO3  TECHNICIEN MENUISIER AGENCEUR,238300,BAC PRO EN 3 ANS : TERMINALE PRO,22.0,1.0,21.0
2024.0,10.0,LYON,0010016M,JOSEPH-MARIE CARRIAT,J M CARRIAT 1 R DE CROUY,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23830025014,TLEPRO TEC.REAL.PR.MEC.OP.REAL.SUIV.PRO.,238300,BAC PRO EN 3 ANS : TERMINALE PRO,16.0,0.0,16.0
2024.0,10.0,LYON,0010016M,JOSEPH-MARIE CARRIAT,J M CARRIAT 1 R DE CROUY,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,32211031212,1BTS2  NEGO. ET DIGITAL. RELATION CLIENT,322110,BTS EN 2 ANS : 1ERE ANNEE,9.0,3.0,6.0
2024.0,10.0,LYON,0010016M,JOSEPH-MARIE CARRIAT,J M CARRIAT 1 R DE CROUY,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,32211031408,1BTS2  COMPTABILITE ET GESTION,322110,BTS EN 2 ANS : 1ERE ANNEE,38.0,16.0,22.0
2024.0,10.0,LYON,0010016M,JOSEPH-MARIE CARRIAT,J M CARRIAT 1 R DE CROUY,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,32211032612,1BTS2  SERV.INFORMATIQ.ORGAN.1ERE ANNEE,322110,BTS EN 2 ANS : 1ERE ANNEE,24.0,2.0,22.0
2024.0,10.0,LYON,0010016M,JOSEPH-MARIE CARRIAT,J M CARRIAT 1 R DE CROUY,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,32221020009,2BTS2  CONCEPTION PRODUITS INDUSTRIELS,322210,BTS EN 2 ANS : 2EME ANNEE,9.0,1.0,8.0
