UAI,LIBELLÉFORMATION,MEFSTAT11,NB_VOEUX_CONFIRMES,STATUT,CAPACITEPSUP
0711782B,"BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux - en apprentissage",32212031202,56.0,Apprentissage,12.0
0252041H,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,209.0,Apprentissage,30.0
0930126G,BTS - Services - Services informatiques aux organisations,32211032612,1894.0,Scolaire,24.0
0572590F,BTS - Production - Enveloppe des bâtiments : conception et réalisation,32211023205,89.0,Scolaire,15.0
0572590F,"BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique",32211022709,115.0,Scolaire,24.0
0572590F,BTS - Production - Travaux publics,32211023206,106.0,Scolaire,15.0
0572590F,BTS - Production - Motorisations toutes énergies,32211025219,126.0,Scolaire,10.0
0572590F,BTS - Production - Maintenance des véhicules option voitures particulières,32211025215,167.0,Scolaire,24.0
0570057C,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,749.0,Apprentissage,24.0
0570057C,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,850.0,Apprentissage,24.0
0570057C,BTS - Services - Services informatiques aux organisations - en apprentissage,32211032612,284.0,Apprentissage,24.0
0570057C,BTS - Services - Tourisme - en apprentissage,32211033426,528.0,Apprentissage,24.0
0572757M,BTS - Production - Bioanalyses en laboratoire de contrôle,32211022209,467.0,Scolaire,15.0
0572757M,BTS - Services - Economie sociale familiale,32211033206,602.0,Scolaire,59.0
0573227Y,BTS - Production - Electrotechnique,32211025520,178.0,Scolaire,15.0
0573231C,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",32211020116,209.0,Scolaire,15.0
0573231C,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux",32211025521,118.0,Scolaire,15.0
0573281G,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux",32211025521,488.0,Scolaire,24.0
0573281G,BTS - Services - Communication,32211032003,928.0,Scolaire,30.0
0573281G,BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image,32211032329,917.0,Scolaire,6.0
0573281G,BTS - Services - Métiers de l'audio-visuel opt : métiers du son,32211032330,585.0,Scolaire,6.0
0573281G,BTS - Services - Métiers de l'audio-visuel opt : montage et post-production,32211032332,629.0,Scolaire,6.0
0573281G,BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements,32211032331,207.0,Scolaire,6.0
0573320Z,BTS - Services - Management en hôtellerie restauration,32211033422,248.0,Scolaire,60.0
0573519R,BTS - Services - Opticien-Lunetier,32211033107,145.0,Scolaire,35.0
