codeDepartement,rentreeScolaire,tauxChomage
001,2023,"5,7"
002,2023,"10,7"
003,2023,8
004,2023,"8,2"
006,2023,"7,2"
007,2023,"8,1"
008,2023,"9,9"
009,2023,"9,5"
010,2023,"9,8"
011,2023,"10,4"
012,2023,"5,8"
067,2023,"6,5"
013,2023,"8,7"
014,2023,"6,6"
015,2023,"4,3"
016,2023,"7,2"
017,2023,7
018,2023,"7,3"
019,2023,"6,1"
02A,2023,"6,1"
021,2023,"5,8"
022,2023,"6,4"
023,2023,"7,3"
079,2023,"5,4"
024,2023,"7,3"
025,2023,"6,7"
026,2023,"8,2"
091,2023,"6,6"
027,2023,"7,2"
028,2023,7
029,2023,"6,3"
030,2023,"10,2"
032,2023,"5,7"
033,2023,"6,7"
971,2023,"19,3"
973,2023,"16,3"
02B,2023,7
031,2023,"7,5"
043,2023,"5,7"
052,2023,"6,6"
005,2023,"6,6"
070,2023,"6,6"
074,2023,"5,6"
065,2023,"7,9"
087,2023,"6,6"
068,2023,"7,2"
092,2023,"6,1"
034,2023,"10,4"
035,2023,"5,8"
036,2023,"7,1"
037,2023,"6,7"
038,2023,"6,1"
039,2023,"5,3"
974,2023,"18,7"
040,2023,"6,9"
042,2023,"7,6"
044,2023,"5,6"
045,2023,"7,4"
041,2023,"6,1"
046,2023,"7,4"
047,2023,"7,4"
048,2023,"4,8"
049,2023,"6,4"
050,2023,"5,3"
051,2023,"7,4"
972,2023,"10,3"
053,2023,"4,8"
054,2023,"7,1"
055,2023,"7,4"
056,2023,6
057,2023,"7,3"
058,2023,"6,8"
059,2023,"9,9"
060,2023,"7,6"
061,2023,"6,8"
075,2023,"5,9"
062,2023,"8,7"
063,2023,"6,6"
064,2023,"5,8"
066,2023,"12,4"
069,2023,"6,6"
071,2023,"6,7"
072,2023,"7,2"
073,2023,"5,4"
077,2023,"6,9"
076,2023,8
093,2023,"10,6"
080,2023,"8,8"
081,2023,8
082,2023,"8,7"
090,2023,"8,5"
094,2023,"7,4"
095,2023,"8,3"
083,2023,"7,4"
084,2023,"9,9"
085,2023,"5,3"
086,2023,"6,2"
088,2023,"7,9"
089,2023,"7,2"
078,2023,"6,6"
001,2022,"5,4"
002,2022,"10,2"
003,2022,"7,5"
004,2022,"8,1"
006,2022,"7,2"
007,2022,"7,9"
008,2022,"9,3"
009,2022,"9,4"
010,2022,"9,4"
011,2022,"10,0"
012,2022,"5,6"
067,2022,"6,1"
013,2022,"8,6"
014,2022,"6,3"
015,2022,"4,0"
016,2022,"6,7"
017,2022,"6,7"
018,2022,"7,4"
019,2022,"6,0"
02A,2022,"5,7"
021,2022,"5,6"
022,2022,"6,2"
023,2022,"6,8"
079,2022,"5,1"
024,2022,"7,1"
025,2022,"6,3"
026,2022,"7,7"
091,2022,"6,3"
027,2022,"6,8"
028,2022,"6,6"
029,2022,"6,1"
030,2022,"9,8"
032,2022,"5,6"
033,2022,"6,4"
971,2022,"19,3"
973,2022,"10,9"
068,2022,"6,7"
02B,2022,"6,4"
031,2022,"7,2"
043,2022,"5,5"
052,2022,"6,3"
070,2022,"6,2"
074,2022,"5,2"
087,2022,"6,4"
005,2022,"6,6"
065,2022,"7,7"
092,2022,"5,8"
034,2022,"9,9"
035,2022,"5,4"
036,2022,"7,0"
037,2022,"6,4"
038,2022,"5,8"
039,2022,"5,2"
974,2022,"17,1"
040,2022,"6,8"
041,2022,"5,9"
042,2022,"7,1"
044,2022,"5,5"
045,2022,"6,9"
046,2022,"7,3"
047,2022,"7,3"
048,2022,"4,6"
049,2022,"6,3"
050,2022,"5,1"
051,2022,"7,1"
972,2022,"10,2"
053,2022,"4,9"
054,2022,"6,9"
055,2022,"7,2"
056,2022,"5,6"
057,2022,"7,0"
058,2022,"6,7"
059,2022,"9,2"
060,2022,"7,2"
061,2022,"6,4"
075,2022,"5,6"
062,2022,"8,1"
063,2022,"6,2"
064,2022,"5,6"
066,2022,"11,7"
069,2022,"6,2"
071,2022,"6,4"
072,2022,"6,8"
073,2022,"5,1"
077,2022,"6,7"
076,2022,"7,5"
093,2022,"10,1"
080,2022,"8,6"
081,2022,"7,7"
082,2022,"8,6"
090,2022,"8,1"
095,2022,"8,0"
094,2022,"7,1"
083,2022,"7,2"
084,2022,"9,5"
085,2022,"5,1"
086,2022,"5,8"
088,2022,"7,4"
089,2022,"6,7"
078,2022,"6,4"
001,2021,"5,6"
002,2021,"10,6"
003,2021,"7,8"
004,2021,"8,3"
006,2021,"7,9"
007,2021,"8,2"
008,2021,"9,4"
009,2021,"9,3"
010,2021,"9,6"
011,2021,"10,3"
