codeRegion,rentreeScolaire,tauxChomage
1.0,2023,"19,3"
2.0,2023,"10,3"
3.0,2023,"16,3"
4.0,2023,"18,7"
11.0,2023,"7,1"
24.0,2023,7
27.0,2023,"6,5"
28.0,2023,"7,1"
32.0,2023,"9,3"
44.0,2023,"7,4"
52.0,2023,"5,9"
53.0,2023,"6,1"
75.0,2023,"6,6"
76.0,2023,"8,9"
84.0,2023,"6,5"
93.0,2023,"8,1"
94.0,2023,"6,6"
1.0,2022,"19,3"
2.0,2022,"10,2"
3.0,2022,"10,9"
4.0,2022,"17,1"
11.0,2022,"6,8"
24.0,2022,"6,7"
27.0,2022,"6,2"
28.0,2022,"6,6"
32.0,2022,"8,7"
44.0,2022,7
52.0,2022,"5,7"
53.0,2022,"5,8"
75.0,2022,"6,3"
76.0,2022,"8,6"
84.0,2022,"6,1"
93.0,2022,8
94.0,2022,"6,1"
1.0,2021,"15,5"
2.0,2021,"10,9"
3.0,2021,"14,2"
4.0,2021,19
11.0,2021,"7,1"
24.0,2021,"6,7"
27.0,2021,"6,3"
28.0,2021,"7,1"
32.0,2021,"8,9"
44.0,2021,"7,3"
52.0,2021,"6,1"
53.0,2021,"5,9"
75.0,2021,"6,6"
76.0,2021,"8,8"
84.0,2021,"6,5"
93.0,2021,"8,4"
94.0,2021,"6,2"
1.0,2020,"19,7"
2.0,2020,"14,2"
3.0,2020,"20,5"
4.0,2020,"17,1"
11.0,2020,"7,7"
24.0,2020,"7,2"
27.0,2020,"6,8"
28.0,2020,"7,8"
32.0,2020,"9,4"
44.0,2020,"7,8"
52.0,2020,"6,9"
53.0,2020,"6,7"
75.0,2020,"7,3"
76.0,2020,"9,5"
84.0,2020,"7,1"
93.0,2020,"9,1"
94.0,2020,7
1.0,2024,"7,3"
