id;millesime;code_region_ij;code_region;voie;cfd;mefstat11;nb_annee_term;nb_en_emploi_12_mois;nb_en_emploi_18_mois;nb_en_emploi_24_mois;nb_en_emploi_6_mois;nb_poursuite_etudes;nb_sortant;taux_emploi_12_mois;taux_emploi_18_mois;taux_emploi_24_mois;taux_emploi_6_mois;taux_poursuite_etudes
2019_2020_10_scolaire_32221022002;2019_2020;10;11;scolaire;;32221022002;52;12;12;15;9;31;21;57;57;71;43;60
2019_2020_10_scolaire_23110031219;2019_2020;10;11;scolaire;;23110031219;25;4;5;5;3;2;23;17;22;22;13;8
2019_2020_10_scolaire_32221022207;2019_2020;10;11;scolaire;;32221022207;407;113;126;130;101;157;250;45;50;52;40;39
2019_2020_10_scolaire_23220024322;2019_2020;10;11;scolaire;;23220024322;68;10;10;8;8;37;31;32;32;26;26;54
2019_2020_10_scolaire_23110033202;2019_2020;10;11;scolaire;;23110033202;25;6;8;10;7;4;21;29;38;48;33;16
2019_2020_10_scolaire_23110032228;2019_2020;10;11;scolaire;;23110032228;13;2;1;1;1;7;6;;;;;
2019_2020_10_scolaire_23910025122;2019_2020;10;11;scolaire;;23910025122;55;23;22;27;22;16;39;59;56;69;56;29
2019_2020_10_scolaire_32221033109;2019_2020;10;11;scolaire;;32221033109;494;151;152;152;145;149;345;44;44;44;42;30
2019_2020_10_scolaire_23830030001;2019_2020;10;11;scolaire;;23830030001;11621;1647;2053;2287;1481;6502;5119;32;40;45;29;56
2019_2020_10_scolaire_23830033602;2019_2020;10;11;scolaire;;23830033602;17;8;10;12;10;2;15;;;;;
2019_2020_10_scolaire_23220022422;2019_2020;10;11;scolaire;;23220022422;32;1;2;3;2;19;13;;;;;59
2019_2020_10_scolaire_23220025305;2019_2020;10;11;scolaire;;23220025305;23;1;3;4;2;18;5;;;;;78
2019_2020_10_scolaire_32221033420;2019_2020;10;11;scolaire;;32221033420;781;299;299;344;254;223;558;54;54;62;46;29
2019_2020_10_scolaire_32221020007;2019_2020;10;11;scolaire;;32221020007;173;22;21;25;15;117;56;39;38;45;27;68
2019_2020_10_scolaire_32221031309;2019_2020;10;11;scolaire;;32221031309;474;182;193;206;176;169;305;60;63;68;58;36
2019_2020_10_scolaire_23220031117;2019_2020;10;11;scolaire;;23220031117;23;12;13;18;7;1;22;55;59;82;32;4
2019_2020_10_scolaire_32221032328;2019_2020;10;11;scolaire;;32221032328;67;17;22;18;19;31;36;47;61;50;53;46
2019_2020_10_scolaire_23830025007;2019_2020;10;11;scolaire;;23830025007;1247;195;253;299;169;692;555;35;46;54;30;55
2019_2020_10_scolaire_23220033204;2019_2020;10;11;scolaire;;23220033204;680;71;92;109;64;400;280;25;33;39;23;59
2019_2020_10_scolaire_23910022105;2019_2020;10;11;scolaire;;23910022105;144;68;68;78;59;34;110;62;62;71;54;24
2019_2020_10_scolaire_23910033605;2019_2020;10;11;scolaire;;23910033605;101;41;43;43;44;28;73;56;59;59;60;28
2019_2020_10_scolaire_32221033107;2019_2020;10;11;scolaire;;32221033107;395;156;161;166;155;186;209;75;77;79;74;47
2019_2020_10_scolaire_32221033425;2019_2020;10;11;scolaire;;32221033425;101;41;47;47;31;42;59;69;80;80;53;42
2019_2020_10_scolaire_32222021401;2019_2020;10;11;scolaire;;32222021401;58;20;18;23;18;20;38;53;47;61;47;34
2019_2020_10_scolaire_23220033412;2019_2020;10;11;scolaire;;23220033412;494;78;92;106;66;248;246;32;37;43;27;50
2019_2020_10_scolaire_23830023408;2019_2020;10;11;scolaire;;23830023408;114;15;14;24;10;70;44;34;32;55;23;61
2019_2020_10_scolaire_32221031212;2019_2020;10;11;scolaire;;32221031212;1003;357;412;408;303;363;640;56;64;64;47;36
2019_2020_10_scolaire_23830024202;2019_2020;10;11;scolaire;;23830024202;39;5;4;6;3;21;18;;;;;54
2019_2020_10_scolaire_23220031214;2019_2020;10;11;scolaire;;23220031214;1079;117;158;185;93;572;507;23;31;36;18;53
2019_2020_10_scolaire_23220033411;2019_2020;10;11;scolaire;;23220033411;656;52;71;90;49;359;297;18;24;30;16;55
2019_2020_10_scolaire_23830025006;2019_2020;10;11;scolaire;;23830025006;546;70;89;107;62;333;213;33;42;50;29;61
2019_2020_10_scolaire_23830025220;2019_2020;10;11;scolaire;;23830025220;80;21;22;22;19;40;40;53;55;55;48;50
2019_2020_10_scolaire_23220025433;2019_2020;10;11;scolaire;;23220025433;52;7;11;16;3;20;32;22;34;50;9;38
2019_2020_10_scolaire_23220022349;2019_2020;10;11;scolaire;;23220022349;19;6;7;6;6;10;9;;;;;
2019_2020_10_scolaire_23110033611;2019_2020;10;11;scolaire;;23110033611;30;4;7;6;6;16;14;;;;;53
2019_2020_10_scolaire_23830025214;2019_2020;10;11;scolaire;;23830025214;1064;274;291;319;230;512;552;50;53;58;42;48
2019_2020_10_scolaire_32221025011;2019_2020;10;11;scolaire;;32221025011;46;22;23;23;18;14;32;69;72;72;56;30
2019_2020_10_scolaire_23910033412;2019_2020;10;11;scolaire;;23910033412;50;18;17;19;17;21;29;62;59;66;59;42
2019_2020_10_scolaire_23220031220;2019_2020;10;11;scolaire;;23220031220;23;2;3;3;1;11;12;;;;;48
2019_2020_10_scolaire_32221023304;2019_2020;10;11;scolaire;;32221023304;15;7;7;8;7;4;11;;;;;
2019_2020_10_scolaire_32221022711;2019_2020;10;11;scolaire;;32221022711;138;47;51;53;38;61;77;61;66;69;49;44
2019_2020_10_scolaire_32221031209;2019_2020;10;11;scolaire;;32221031209;3214;1214;1314;1448;1149;1111;2103;58;62;69;55;35
2019_2020_10_scolaire_23830023203;2019_2020;10;11;scolaire;;23830023203;200;55;54;61;48;109;91;60;59;67;53;55
2019_2020_10_scolaire_23110033610;2019_2020;10;11;scolaire;;23110033610;70;16;19;17;15;30;40;40;48;43;38;43
2019_2020_10_scolaire_23830025410;2019_2020;10;11;scolaire;;23830025410;53;6;9;10;6;35;18;;;;;66
2019_2020_10_scolaire_23830025305;2019_2020;10;11;scolaire;;23830025305;23;2;2;4;2;16;7;;;;;70
2019_2020_10_scolaire_23220025436;2019_2020;10;11;scolaire;;23220025436;11;0;0;1;0;9;2;;;;;
2019_2020_10_scolaire_23830033601;2019_2020;10;11;scolaire;;23830033601;307;134;130;130;128;109;198;68;66;66;65;36
