numero_uai,numero_siren_siret_uai,academie,nature_uai,appellation_officielle,adresse_uai,code_postal_uai,secteur_public_prive,date_ouverture,date_fermeture,ministere_tutelle,departement_insee_3_libe
0010001W,19010001600012,10.0,320,"Lycée professionnel Alexandre Bérard - Lycée des métiers de l'énergie et de l'habitat, des métiers administratifs et du commerce",223 rue ALEXANDRE BERARD,01500,PU,01/05/1965,,6,Ain
0010002X,19010002400016,10.0,340,Collège Saint-Exupéry,6 rue AGUETANT,01500,PU,01/05/1965,,6,Ain
0010005A,19010005700016,10.0,340,Collège Roger Poulnard,131 rue de la Mairie,01380,PU,01/05/1965,,6,Ain
0010006B,19010006500019,10.0,306,Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment,15 avenue SAINT-EXUPERY,01200,PU,01/05/1965,,6,Ain
0010007C,19010007300013,10.0,320,Lycée professionnel Brillat Savarin,15 AVENUE SAINT EXUPERY,01206,PU,01/05/1965,31/08/2001,6,Ain
0010008D,19010008100016,10.0,340,Collège Saint-Exupéry,15 avenue Saint Exupéry,01200,PU,01/05/1965,,6,Ain
0010010F,19010010700019,10.0,306,Lycée polyvalent du Bugey,113 rue DU 5E RTM,01306,PU,01/05/1965,,6,Ain
0010013J,19010013100019,10.0,302,Lycée général Lalande,16 rue du Lycée,01011,PU,01/05/1965,,6,Ain
0010014K,19010014900011,10.0,300,Lycée général et technologique Edgar Quinet,5 avenue JEAN MARIE VERNE,01001,PU,01/05/1965,,6,Ain
0010016M,19010016400010,10.0,306,Lycée polyvalent Joseph-Marie Carriat,1 rue DE CROUY,01011,PU,01/05/1965,,6,Ain
0010017N,19010016400010,10.0,334,Section d'enseignement professionnel du Lycée polyvalent Carriat,1 rue DE CROUY,01011,PU,01/05/1965,,6,Ain
0010018P,19010018000016,10.0,340,Collège du Revermont,9 avenue DE JASSERON,01000,PU,01/05/1965,,6,Ain
0010020S,19010020600019,10.0,320,"Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance, de la mécanique et des engins mécaniques",Avenue Charles de Gaulle,01400,PU,01/05/1965,,6,Ain
0010021T,19010021400013,10.0,320,Lycée professionnel Marcelle Pardé - Lycée des métiers des services aux entreprises et aux personnes,47 avenue ALSACE LORRAINE,01011,PU,16/02/1971,,6,Ain
0010022U,19010022200024,10.0,340,Collège Henry Dunant,200 rue CLAUDIUS RICHARD,01350,PU,01/05/1965,,6,Ain
0010024W,19010024800011,10.0,340,Collège Georges Charpak,100 rue GEORGES CHARPAK,01173,PU,01/05/1965,,6,Ain
0010025X,19010025500016,10.0,340,Collège Paul Sixdenier,Rue DES ENFANTS DE L'ESPERANCE,01110,PU,01/05/1965,,6,Ain
0010026Y,19010026300010,10.0,340,Collège Paul Claudel,98 avenue SAINT EXUPERY,01150,PU,01/05/1965,,6,Ain
0010032E,19010032100032,10.0,306,Lycée polyvalent Xavier Bichat,AVENUE DU LAC,01130,PU,01/05/1965,,6,Ain
0010034G,19010034700011,10.0,306,Lycée polyvalent Paul Painlevé,13 place DES DEPORTES DE 1944,01108,PU,01/05/1965,,6,Ain
0010035H,19010035400017,10.0,340,Collège Louis Lumière,61 route de la Forge,01101,PU,01/05/1965,,6,Ain
0010036J,19010036200010,10.0,340,Collège Roger Vailland,Rue PAUL EMILE VICTOR,01450,PU,01/05/1965,,6,Ain
0010037K,19010037000013,10.0,340,Collège Louise de Savoie,5 rue EMILE LE BREUS,01160,PU,01/05/1965,,6,Ain
0010039M,19010039600018,10.0,340,Collège de l'Albarine,48 avenue de l'Europe,01230,PU,01/05/1965,,6,Ain
0010040N,19010040400010,10.0,340,Collège Louis Vuitton,Place du Collège,01560,PU,01/05/1965,,6,Ain
0010041P,19010041200013,10.0,340,Collège Vaugelas,19 avenue DOCTEUR BERTHIER,01800,PU,16/02/1971,,6,Ain
0010042R,19010042000016,10.0,340,Collège Bel Air,583 rue Albert Camus,01140,PU,01/05/1965,,6,Ain
0010046V,19010046100010,10.0,340,Collège du Renon,230 rue DU VERNAY,01540,PU,01/05/1965,,6,Ain
0010050Z,,10.0,320,Lycée professionnel,13 PLACE DES DEPORTES,01100,PU,29/10/1965,31/08/1980,6,Ain
0010051A,17010431900034,10.0,809,Circonscription d'inspection du 1er degré de Jassans Riottier,333 rue de la mairie,01480,PU,09/10/1968,,6,Ain
0010052B,17010431900265,10.0,841,Centre d'information et d'orientation de Bourg-En-Bresse,34 rue GENERAL DELESTRAINT,01003,PU,11/01/1966,,6,Ain
0010053C,17010431900372,10.0,841,Centre d'information et d'orientation d'Etat d'Ambérieu en Bugey,Rue MARCEL PAUL,01500,PU,11/01/1966,,6,Ain
0010054D,19010041200013,10.0,390,Section d'enseignement général et professionnel adapté du Collège Vaugelas,19 avenue DOCTEUR BERTHIER,01800,PU,21/05/1974,,6,Ain
0010055E,17010431900208,10.0,841,Centre d'information et d'orientation d'Etat de Valserhône-Pays de Gex,12 rue JOLIOT CURIE,01200,PU,11/01/1966,,6,Ain
0010056F,17010431900026,10.0,841,Centre d'information et d'orientation d'Etat d'Oyonnax,22 rue Victor Hugo,01101,PU,11/01/1966,,6,Ain
0010057G,17010431900364,10.0,841,Centre d'information et d'orientation de Belley,56 rue du Lieutenant Argenton,01300,PU,11/01/1966,,6,Ain
0010059J,19010059400018,10.0,307,"Lycée d'enseignement général, technologique et professionnel agricole de Cibeins",Domaine de cibeins,01600,PU,20/08/1967,,3,Ain
