code_ogr;libelle_appellation_long;libelle_appellation_court;code_rome;transition_eco;transition_num;transition_demo;emploi_reglemente;emploi_cadre;classification;origine
10200;Abatteur / Abatteuse de carrière;Abatteur / Abatteuse de carrière;F1402;;;;;;SYNONYME;
10201;Accastilleur-gréeur / Accastilleuse-gréeuse;Accastilleur-gréeur / Accastilleuse-gréeuse;I1601;;;;;;SYNONYME;
10202;Accastilleur-monteur / Accastilleuse-monteuse électronique de marine;Accastilleur(se)-monteur(se) électronique de marine;I1601;;;;;;SYNONYME;
10203;Accessoiriste;Accessoiriste;L1503;;;;;;PRINCIPALE;
10204;Accessoiriste de plateau;Accessoiriste de plateau;L1503;;;;;;SYNONYME;
10205;Accessoiriste en effets spéciaux;Accessoiriste en effets spéciaux;L1503;;;;;;SYNONYME;
10206;Accompagnateur / Accompagnatrice de randonnée;Accompagnateur / Accompagnatrice de randonnée;G1216;Emploi stratégique pour la Transition écologique;;;;;SYNONYME;
10207;Accompagnateur / Accompagnatrice de randonnée nature;Accompagnateur / Accompagnatrice de randonnée nature;G1216;Emploi stratégique pour la Transition écologique;;;;;SYNONYME;
10208;Accompagnateur / Accompagnatrice de séjour linguistique;Accompagnateur / Accompagnatrice de séjour linguistique;G1201;;;;;;SYNONYME;
10209;Accompagnateur / Accompagnatrice de tourisme équestre;Accompagnateur / Accompagnatrice de tourisme équestre;G1201;;;;;;SYNONYME;
10210;Accompagnateur / Accompagnatrice de tourisme sportif;Accompagnateur / Accompagnatrice de tourisme sportif;G1216;Emploi stratégique pour la Transition écologique;;;;;SYNONYME;
10211;Accompagnateur / Accompagnatrice de voyages;Accompagnateur / Accompagnatrice de voyages;G1201;;;;;;SYNONYME;
10212;Accompagnateur / Accompagnatrice de voyages ou d'activités culturelles, sportives et de plein air;Accompagnateur(trice) voyages activités culturelles sport;G1201;;;;;;SYNONYME;
10213;Accompagnateur / Accompagnatrice d'enfants ou d'adolescents;Accompagnateur / Accompagnatrice d'enfants ou d'adolescents;G1203;;;;;;SYNONYME;
10214;Accompagnateur / Accompagnatrice d'excursions;Accompagnateur / Accompagnatrice d'excursions;G1201;;;;;;SYNONYME;
10215;Accompagnateur / Accompagnatrice en écotourisme;Accompagnateur / Accompagnatrice en écotourisme;G1201;;;;;;SYNONYME;
10216;Accompagnateur / Accompagnatrice en moyenne montagne;Accompagnateur / Accompagnatrice en moyenne montagne;G1201;;;;;;SYNONYME;
10217;Accompagnateur / Accompagnatrice en tourisme vert;Accompagnateur / Accompagnatrice en tourisme vert;G1201;;;;;;SYNONYME;
10218;Accompagnateur formateur / Accompagnatrice formatrice technique en insertion professionnelle;Accompagnateur(trice) formateur(trice) technique insert prof;K1203;;;;;;SYNONYME;
10219;Accompagnateur médicosocial / Accompagnatrice médicosociale;Accompagnateur médicosocial / Accompagnatrice médicosociale;K1301;;;;;;PRINCIPALE;
10220;Accompagnateur médicosocial / Accompagnatrice médicosociale d'activités de la vie journalière;Accompagnateur(trice) médicosocial(e) vie journalière;K1301;;;;;;SYNONYME;
10221;Accompagnateur médicosocial / Accompagnatrice médicosociale de personnes dépendantes;Accompagnateur(trice) médicosocial(e) de personne dépendante;K1301;;;;;;SYNONYME;
10222;Accompagnateur médicosocial / Accompagnatrice médicosociale de personnes en post-cure;Accompagnateur(trice) médicosocial(e) personnes en post-cure;K1301;;;;;;SYNONYME;
10224;Accompagnateur / Accompagnatrice reconversion professionnelle;Accompagnateur/Accompagnatrice reconversion professionnelle;K1801;;;;;;SYNONYME;
10225;Accompagnateur socioprofessionnel / Accompagnatrice socioprofessionnelle;Accompagnateur(trice) socioprofessionnel(le);K1203;;;;;;SYNONYME;
10226;Accompagnateur / Accompagnatrice technique d'insertion professionnelle;Accompagnateur(trice) technique d'insertion professionnelle;K1203;;;;;;SYNONYME;
10227;Accompagnateur / Accompagnatrice tourisme;Accompagnateur / Accompagnatrice tourisme;G1201;;;;;;SYNONYME;
10228;Accompagnateur / Accompagnatrice touristique;Accompagnateur / Accompagnatrice touristique;G1201;;;;;;SYNONYME;
10229;Acconier / Acconière de l'armée;Acconier / Acconière de l'armée;N3203;;;;;;SYNONYME;
10230;Accordeur / Accordeuse de pianos;Accordeur / Accordeuse de pianos;B1501;;;;;;SYNONYME;
10231;Accordeur-réparateur / Accordeuse-réparatrice de pianos;Accordeur-réparateur / Accordeuse-réparatrice de pianos;B1501;;;;;;SYNONYME;
10232;Accouveur / Accouveuse;Accouveur / Accouveuse;A1409;;;;;;SYNONYME;
10233;Accrocheur / Accrocheuse;Accrocheur / Accrocheuse;F1401;;;;;;SYNONYME;
10234;Accrocheur / Accrocheuse de wagons du réseau ferré;Accrocheur / Accrocheuse de wagons du réseau ferré;N4403;;;;;;SYNONYME;
10235;Accrocheur / Accrocheuse en abattoir;Accrocheur / Accrocheuse en abattoir;H2101;;;;;;SYNONYME;
10236;Accrocheur / Accrocheuse manutentionnaire du réseau ferré;Accrocheur / Accrocheuse manutentionnaire du réseau ferré;N4403;;;;;;SYNONYME;
10237;Accueillant familial / Accueillante familiale auprès d'adultes;Accueillant familial/Accueillante familiale auprès d'adultes;K1302;;;;;;SYNONYME;
10238;Accueillant familial / Accueillante familiale auprès d'enfants;Accueillant familial/Accueillante familiale auprès d'enfants;K1309;;;O;O;;PRINCIPALE;
10239;Accueillant familial / Accueillante familiale thérapeutique auprès d'adultes;Accueillant(e) familial(e) thérapeutique auprès d'adultes;K1302;;;;;;SYNONYME;
10240;Accueillant familial / Accueillante familiale thérapeutique auprès d'enfants;Accueillant(e) familial(e) thérapeutique auprès d'enfants;K1309;;;;;;SYNONYME;
10241;Acheteur / Acheteuse;Acheteur / Acheteuse;M1101;;;;;;PRINCIPALE;
10242;Acheteur approvisionneur / Acheteuse approvisionneuse;Acheteur approvisionneur / Acheteuse approvisionneuse;M1101;;;;;;SYNONYME;
10243;Acheteur / Acheteuse de commerce;Acheteur / Acheteuse de commerce;M1101;;;;;;SYNONYME;
10244;Acheteur / Acheteuse de produits de distribution;Acheteur / Acheteuse de produits de distribution;M1101;;;;;;SYNONYME;
10245;Acheteur / Acheteuse d'espaces affichage;Acheteur / Acheteuse d'espaces affichage;E1402;;;;;;SYNONYME;
10246;Acheteur / Acheteuse d'espaces cinéma;Acheteur / Acheteuse d'espaces cinéma;E1402;;;;;;SYNONYME;
10247;Acheteur / Acheteuse d'espaces Internet;Acheteur / Acheteuse d'espaces Internet;E1402;;;;;;SYNONYME;
