MEF,DISPOSITIF_FORMATION,FORMATION_DIPLOME,DUREE_DISPOSITIF,ANNEE_DISPOSITIF,LIBELLE_COURT,LIBELLE_LONG,DATE_OUVERTURE,DATE_FERMETURE,STATUT_MEF,NB_OPTION_OBLIGATOIRE,NB_OPTION_FACULTATIF,RENFORCEMENT_LANGUE,DUREE_PROJET,DUREE_STAGE,HORAIRE,MEF_INSCRIPTION_SCOLARITE,MEF_STAT_11,MEF_STAT_9,DATE_INTERVENTION,LIBELLE_EDITION,N_COMMENTAIRE
9999990299.0,999.0,99999902,9.0,9.0,FINDET,FINDET  FORMATION INDETERMINEE,01/09/2021,,3.0,0.0,,N,,,N,O,99990099902,,10/09/2021,Findet  formation indéterminée,Formation dont le niveau n est pas défini dans le privé hors contrat ou l instruction en famille
2543100121.0,254.0,45031001,2.0,1.0,1BP2  31001,1BP2 ADMINISTR.DES FONCTIONS PUBLIQUES,01/09/1993,31/08/2022,3.0,0.0,,N,,,N,O,25110031001,251100310,12/04/2022,1bp2 administr.des fonctions publiques,
2762121131.0,276.0,40321211,3.0,1.0,2DPROA21211,2DPROA COND GEST ENTR HIPPIQUE,01/09/2021,,4.0,1.0,2.0,N,,,N,N,23811021211,238110212,07/10/2021,Année 1/3 Bac pro agri cg entreprise hippique pour apprentis,Mise en place des MEF pour les apprentis de l'enseignement agricole à la rentrée 2021
2762140531.0,276.0,40321405,3.0,1.0,2DPROA21405,2DPROA AMENAGEMENTS PAYSAGERS,01/09/2021,,4.0,1.0,2.0,N,,,N,N,23811021405,238110214,07/10/2021,Année 1/3 Bac pro agri Aménagements paysagers pour apprentis,Mise en place des MEF pour les apprentis de l'enseignement agricole à la rentrée 2021
2762111431.0,276.0,40321114,3.0,1.0,2DPROA21114,2DPROA CONDUITE PRODUCTIONS HORTICOLES,01/09/2021,,4.0,1.0,2.0,N,,,N,N,23811021114,238110211,07/10/2021,Année 1/3 Bac pro agri conduite de prod horticoles pour apprentis,Mise en place des MEF pour les apprentis de l'enseignement agricole à la rentrée 2021
2762121031.0,276.0,40321210,3.0,1.0,2DPROA21210,2DPROA COND GEST ENTR CANIN ET FELIN,01/09/2021,,4.0,1.0,2.0,N,,,N,N,23811021210,238110212,07/10/2021,Année 1/3 Bac pro agri cdte-gest entrep secr canin felin pr apprentis,Mise en place des MEF pour les apprentis de l'enseignement agricole à la rentrée 2021
2762100431.0,276.0,40321004,3.0,1.0,2DPROA21004,2DPROA CGEA,01/09/2021,,4.0,1.0,2.0,N,,,N,N,23811021004,238110210,07/10/2021,Année 1/3 Bac pro agri cgea pour apprentis,Mise en place des MEF pour les apprentis de l'enseignement agricole à la rentrée 2021
2762130231.0,276.0,40321302,3.0,1.0,2DPROA21302,2DPROA GEST MILIEUX NATURELS FAUNE,01/09/2021,,4.0,1.0,2.0,N,,,N,N,23811021302,238110213,07/10/2021,Année 1/3 Bac pro agri Gestion milieux naturels faune pour apprentis,Mise en place des MEF pour les apprentis de l'enseignement agricole à la rentrée 2021
2762130331.0,276.0,40321303,3.0,1.0,2DPROA21303,2DPROA FORET,01/09/2021,,4.0,1.0,2.0,N,,,N,N,23811021303,238110213,07/10/2021,Année 1/3 Bac pro agri forêt pour apprentis,Mise en place des MEF pour les apprentis de l'enseignement agricole à la rentrée 2021
2762120331.0,276.0,40321203,3.0,1.0,2DPROA21203,2DPROA TECHN CONSEIL DE VENTE ANIMALERIE,01/09/2021,,4.0,1.0,2.0,N,,,N,N,23811021203,238110212,07/10/2021,Année 1/3 Bac pro agri Tech conseil vente animalerie pr apprentis,Mise en place des MEF pour les apprentis de l'enseignement agricole à la rentrée 2021
