NIVEAU_FORMATION_DIPLOME,LIBELLE_COURT
010,MC
16J,TH1-J
16N,TH1-N
16Q,TH1-Q
16R,TH1-R
16S,TH1-S
16T,TH1-T
16U,TH1-U
16X,TH1-X
16Z,TH1
170,ING
145,MASTER
100,DOCTORAT
125,MASTER R
135,MASTER PRO
164,TH1-AG
160,DIV-1
156,DU-1
155,GD ETB MAS
140,DSAA-1
131,DRT
161,MASTERE
130,DESS
120,DEA
16C,TH1-C
16E,TH1-E
16A,TH1-A
16D,TH1-D
146,DIP1-CNAM
199,AUTRE N-1
180,MBA
165,DIP GVM
264,TH2-AG
206,MN SPORT 6
26J,TH2-J
26E,TH2-E
26D,TH2-D
299,AUTRE N-2
26Z,TH2
26X,TH2-X
26U,TH2-U
26T,TH2-T
26S,TH2-S
26R,TH2-R
26Q,TH2-Q
26N,TH2-N
265,DIP GVL
26M,TH2-M
26A,TH2-A
26K,TH2-K
251,BUT
216,DEM MONT 6
26C,TH2-C
200,LIC
201,MAIT
205,LIC LMD
210,DNTS-A
220,MST
230,ING-M
236,DES JEPS
240,DSAA
241,DNMADE
246,DIP2-CNAM
250,LIC PRO
255,GD ETB LIC
256,DU-2
260,DIV-2
263,CSA NIV2
36C,TH3-C
336,DE JEPS
346,DIP3-CNAM
350,DUT
352,DEUG
355,DEUST
356,DU-3
360,DIV-3
363,CSA NIV3
364,TH3-AG
370,CPGE
371,DECF
381,FCIL N-3
382,MODAL N-3
399,AUTRE N-3
306,MN SPORT 5
326,CP JEPS 5
316,DEM MONT 5
36Z,TH3
36X,TH3-X
36U,TH3-U
36T,TH3-T
36S,TH3-S
36R,TH3-R
36Q,TH3-Q
36N,TH3-N
36M,TH3-M
36K,TH3-K
36J,TH3-J
36E,TH3-E
36D,TH3-D
323,BTSA
36A,TH3-A
320,BTS
321,DMA
322,ASSIMI.BTS
460,DIV-4
470,BAC GENE
46X,TH4-X
4ZZ,TNH4
46Z,TH4
46U,TH4-U
46T,TH4-T
46S,TH4-S
46R,TH4-R
46Q,TH4-Q
46N,TH4-N
46M,TH4-M
46K,TH4-K
46J,TH4-J
46E,TH4-E
46D,TH4-D
46C,TH4-C
46A,TH4-A
499,AUTRE N-4
482,MODAL N-4
481,FCIL N-4
464,TH4-AG
463,CSA NIV4
453,BPA4
450,BP
446,BP JEPS
433,BAC TEC AG
430,BAC TECHNO
423,BTA
420,BT
410,BEI
403,BAC PRO AG
401,BMA
400,BAC PRO
426,CP JEPS 4
406,MN SPORT 4
56J,TH5-J
56R,TH5-R
56Q,TH5-Q
56N,TH5-N
56E,TH5-E
56D,TH5-D
5ZZ,TNH5
56Z,TH5
56C,TH5-C
56A,TH5-A
013,MC AG
599,AUTRE N-5
513,BEPA
550,SES 3 A 6
56S,TH5-S
553,BPA5
560,DIV-5
562,CPAP
563,CSA NIV5
564,TH5-AG
581,FCIL N-5
582,MODAL N-5
583,CIPPA
500,CAP
56X,TH5-X
510,BEP
56T,TH5-T
56M,TH5-M
503,CAPA
630,CPA
610,1CYC.TECHN
620,CPPN
631,DIMA
640,CLIPA
641,FAJ
670,1E CYC.GEN
671,DNB
672,CFG
690,ENS ADAPTE
699,AUT.1E CYC
700,1ER DEGRE
970,ATT PRO
999,INDETERM.
962,ASN
960,BIA
933,DILF
932,DELF
931,DCL
930,CER LANG
921,C2I
920,B2I
914,PRAP
913,APS
912,SST
911,PSC
967,BAFD
968,BNJ POMPIE
910,AFPS
900,ATT SECUR
965,CAEIMER
964,BIMER
963,JDC
966,BAFA
