DOMAINE_SPECIALITE,CATEGORIE_SPECIALITE,LIBELLE_COURT,LIBELLE_LONG,LIBELLE_STAT_33,DATE_OUVERTURE,DATE_FERMETURE,DATE_INTERVENTION,N_COMMENTAIRE
10.0,1.0,,FORMATIONS GENERALES,FORMATIONS GENERALES,,,03/05/1996,
11.0,1.0,,MATHEMATIQUES ET SCIENCES,MATHEMATIQUES ET SCIENCES,,,03/05/1996,
12.0,1.0,,SCIENCES HUMAINES ET DROIT,SCIENCES HUMAINES ET DROIT,,,03/05/1996,
13.0,1.0,,LETTRES ET ARTS,LETTRES ET ARTS,,,03/05/1996,
20.0,2.0,,SPECIALITES PLURI-TECHNO DE PRODUCTION,SPE.PLURI-TECHNO DE PRODUCTION,,,03/05/1996,
21.0,2.0,,AGRICULT. PECHE FORET ET ESPACES VERTS,"AGRICULTURE, PECHE, FORET",,,03/05/1996,
22.0,2.0,,TRANSFORMATIONS,TRANSFORMATIONS,,,03/05/1996,
23.0,2.0,,GENIE CIVIL CONSTRUCTION ET BOIS,GENIE CIVIL CONSTRUCTION ET BOIS,,,03/05/1996,
24.0,2.0,,MATERIAUX SOUPLES,MATERIAUX SOUPLES,,,03/05/1996,
25.0,2.0,,MECANIQUE ELECTRICITE ELECTRONIQUE,MECANIQUE ELECTRICITE ELECTRON.,,,03/05/1996,
29.0,2.0,,DOMAINES TECHN-PROF. DE LA PRODUCTION,DOMAINES TECHN-PROF. DE LA PRODUC,,,23/05/1997,
30.0,3.0,,SPECIALITES PLURIVALENTES DES SERVICES,SPEC.PLURIV. DES SERVICES,,,03/05/1996,
31.0,3.0,,ECHANGES ET GESTION,ECHANGES ET GESTION,,,03/05/1996,
32.0,3.0,,COMMUNICATION ET INFORMATION,COMMUNICATION ET INFORMATION,,,03/05/1996,
33.0,3.0,,SERVICES AUX PERSONNES,SERVICES AUX PERSONNES,,,03/05/1996,
34.0,3.0,,SERVICES A LA COLLECTIVITE,SERVICES A LA COLLECTIVITE,,,03/05/1996,
39.0,3.0,,DOMAINES TECHN-PROF. DES SERVICES,DOMAINES TECHN-PROF. DES SERVICES,,,23/05/1997,
41.0,4.0,,CAPACITES INDIVIDUELLES ET SOCIALES,CAPACITES INDIVIDUEL.ET SOCIALES,,,03/05/1996,
42.0,4.0,,ACTIVITES QUOTIDIENNES ET DE LOISIRS,ACTIVIT.QUOTIDIENNES ET LOISIRS,,,03/05/1996,
99.0,9.0,,DOMAINE DE SPECIALITES NON SPECIFIE,DOMAINE SPECIALITES NON SPECIFIE,,,03/05/1996,
19.0,1.0,,DOMAINES DISCIPLINAIRES,DOMAINES DISCIPLINAIRES,,,05/08/1997,
49.0,4.0,,DOMAINES DU DEVELOPPEMENT PERSONNEL,DOMAINES DU DEVELOPPEMT PERSONNEL,,,05/08/1997,
1.0,2.8708485542729054,,DOMAINE DE SPECIALITES NON SPECIFIE,DOMAINE SPECIALITES NON SPECIFIE,,,07/11/2025,
