GROUPE_SPECIALITE,DOMAINE_SPECIALITE,LIBELLE_COURT,LIBELLE_LONG,LIBELLE_STAT_33,DATE_OUVERTURE,DATE_FERMETURE,DATE_INTERVENTION,LIBELLE_EDITION,N_COMMENTAIRE
229.0,22.0,,DO22 : TRANSFORMATIONS,DO22 : TRANSFORMATIONS,,,05/08/1997,,
239.0,23.0,,"DO23 : GENIE CIVIL, CONSTRUCTION ET BOIS","DO23 : GENIE CIVIL, CONSTR.& BOIS",,,05/08/1997,,
249.0,24.0,,DO24 : MATERIAUX SOUPLES,DO24 : MATERIAUX SOUPLES,,,05/08/1997,,
259.0,25.0,,"DO25 : MECANIQUE, ELECTRICITE, ELECTRO.","DO25 : MECANIQ, ELECTRI, ELECTRO.",,,05/08/1997,,
319.0,31.0,,DO31 : ECHANGES ET GESTION,DO31 : ECHANGES ET GESTION,,,05/08/1997,,
329.0,32.0,,DO32 : COMMUNICATION ET INFORMATION,DO32 : COMMUNICATN & INFORMATION,,,05/08/1997,,
339.0,33.0,,DO33 : SERVICES AUX PERSONNES,DO33 : SERVICES AUX PERSONNES,,,05/08/1997,,
349.0,34.0,,DO34 : SERVICES A LA COLLECTIVITE,DO34 : SERVICES A LA COLLECTIVIT,,,05/08/1997,,
299.0,29.0,,DOMAINES TECHN-PROF. DE LA PRODUCTION,DOMAINES TECHN-PROF. DE LA PRODUC,,,23/05/1997,,
399.0,39.0,,DOMAINES TECHN-PROF. DES SERVICES,DOMAINES TECHN-PROF. DES SERVICES,,,23/05/1997,,
309.0,30.0,,DO30 : SPEC.PLURIVALENTES DES SERVICES,DO30 : SPEC.PLURIV.DES SERVICES,,,05/08/1997,,
209.0,20.0,,DO20 : SPEC.PLURI-TECHNO DE PRODUCTION,DO20 : SPEC.PLURI-TECHNO DE PROD.,,,05/08/1997,,
219.0,21.0,,"DO21 : AGRICULTURE, PECHE, FORET","DO21 : AGRICULTURE, PECHE, FORET",,,05/08/1997,,
322.0,32.0,,TECHNIQUES D'IMPRIMERIE ET D'EDITION,TECHNIQ.DE IMPRIMERIE ET EDITION,,,22/12/1999,Techniques de l'imprimerie et de l'édition,
323.0,32.0,,"TECHNIQUES DE IMAGE, SON, SPECTACLE","TECHNIQ.DE IMAGE, SON, SPECTACLE",,,22/12/1999,"Techniques de l'image et du son, métiers connexes du spectacle",
324.0,32.0,,"SECRETARIAT, BUREAUTIQUE","SECRETARIAT, BUREAUTIQUE",,,22/12/1999,"Secrétariat, bureautique",
325.0,32.0,,"DOCUMENTATION, BIBLIOTH., ADMIN.DONNEES","DOCUM., BIBLIOTH., ADMIN.DONNEES",,,22/12/1999,"Documentation, bibliothèques",
326.0,32.0,,"INFORMATIQUE, TRAITEMT DE L'INFORMATION","INFORMATIQ, TRAITMT DE L'INFORM.",,,22/12/1999,"Informatique, traitement de l'information, transmission des données",
330.0,33.0,,SPECIALITES PLURIV.SANITAIRES & SOCIALES,SPEC.PLURIV.SANITAIRES & SOCIALES,,,22/12/1999,Spécialités plurivalentes sanitaires et sociales,
331.0,33.0,,SANTE,SANTE,,,22/12/1999,Santé,
332.0,33.0,,TRAVAIL SOCIAL,TRAVAIL SOCIAL,,,22/12/1999,Travail social,
333.0,33.0,,"ENSEIGNEMENT, FORMATION","ENSEIGNEMENT, FORMATION",,,22/12/1999,"Enseignement, formation",
334.0,33.0,,"ACCUEIL, HOTELLERIE, TOURISME","ACCUEIL, HOTELLERIE, TOURISME",,,22/12/1999,"Accueil, hôtellerie, tourisme",
335.0,33.0,,"ANIMATION CULTUREL.,SPORTIV.& DE LOISIRS","ANIMA.CULT., SPORTIV.& DE LOISIRS",,,22/12/1999,"Animation culturelle, sportive et de loisirs",
340.0,34.0,,SPEC.PLURIVAL.DES SERVICES A LA COLLECT.,SPEC.PLURIV.SERVICES A LA COLLECT,,,22/12/1999,Spécialités plurivalentes des services à la collectivité,
341.0,34.0,,"AMENAGT DU TERRIT., DEVELOPMT, URBANISME","AMENGT TERRIT., DEVEL., URBANISME",,,22/12/1999,"Aménagement du territoire, développement, urbanisme",
343.0,34.0,,"NETTOYAGE, ASSAIN., PROTECTION ENVIRONMT","NETTOYAGE, ASSAIN., PROTECT.ENVI.",,,22/12/1999,"Nettoyage, assainissement, protection de l'environnement",
345.0,34.0,,APPLICATN DES DROITS & STATUTS DES PERSO,APPLIC.DROITS & STATUTS DES PERS.,,,22/12/1999,Application des droits et statuts des personnes,
346.0,34.0,,SPECIALITES MILITAIRES,SPECIALITES MILITAIRES,,,22/12/1999,Spécialités militaires,
410.0,41.0,,SPECIALIT.CONCERNANT PLUSIEURS CAPACITES,SPEC.CONCERNANT PLUSIEURS CAPACIT,,,22/12/1999,Spécialités concernant plusieurs capacités,
412.0,41.0,,DEVELOPMT CAPACITES MENTALES & APPRENT.,DEVEL.CAPACIT.MENTALES & APPRENT.,,,22/12/1999,Développement des capacités mentales et apprentissage de base,
413.0,41.0,,DEVELOPMT CAPACITES COMPORTMT & RELATIO.,DEVEL.CAPACIT.COMPORTMT & RELAT.,,,22/12/1999,Développement des capacités comportementales et ralationnelles,
132.0,13.0,,ARTS PLASTIQUES,ARTS PLASTIQUES,,,22/12/1999,Arts plastiques,
415.0,41.0,,"DEVELOPMT.CAPACITES D'ORIENT., D'INSERT.","DEVEL.CAPACIT.D'ORIENT., D'INSERT",,,22/12/1999,"Développement des capacités d'orientation, d'insertion ou de réinsertion",
422.0,42.0,,ECONOMIE ET ACTIVITES DOMESTIQUES,ECONOMIE ET ACTIVITES DOMESTIQUES,,,22/12/1999,Economie et activités domestiques,
423.0,42.0,,"VIE FAMILI.,SOCIALE, AUTR.FORM.DEV.PERSO","VIE FAMIL., VIE SOCIALE ET AUTRES",,,22/12/1999,"Vie familiale, vie sociale et autres formations au développement personnel",
999.0,99.0,,SPECIALITE NON SPECIFIEE,SPECIALITE NON SPECIFIEE,,,05/08/1997,,
321.0,32.0,,JOURNALISME ET COMMUNICATION,JOURNALISME ET COMMUNICATION,,,22/12/1999,Journalisme et communication,
221.0,22.0,,"AGRO-ALIMENTAIRE, ALIMENTATION, CUISINE","AGRO-ALIMENTAIRE, ALIMENTATION",,,22/12/1999,"Agro-alimentaire, alimentation, cuisine",
222.0,22.0,,TRANSFORMATIONS CHIMIQUES ET APPARENTEES,TRANSFO.CHIMIQUES ET APPARENTEES,,,22/12/1999,Transformations chimiques et apparentées,
223.0,22.0,,"METALLURGIE (Y.C. SIDERURGIE, FONDERIE)","METALLURGIE (Y.C. SIDERURGIE, ..)",,,22/12/1999,Métallurgie,
