MEF,FORMATION_DIPLOME,MEF_STAT_11
9999990299,99999902,99990099902
2543100121,45031001,25110031001
2762121131,40321211,23811021211
2762140531,40321405,23811021405
2762111431,40321114,23811021114
2762121031,40321210,23811021210
2762100431,40321004,23811021004
2762130231,40321302,23811021302
2762130331,40321303,23811021303
2762120331,40321203,23811021203
2762111331,40321113,23811021113
2762100131,40321001,23811021001
7429990211,38199902,44310099902
4159999911,25099999,32920099999
1139999911,64099999,21330099999
2412340121,50023401,23210023401
2412340122,50023401,23220023401
2402512211,50025122,23110025122
3102220611,32022206,32111022206
2543340122,45033401,25120033401
2542331021,45023310,25110023310
3102320211,32023202,32111023202
2403130711,50031307,23110031307
2453220411,40032204,23610032204
2412300421,50023004,23210023004
2542331621,45023316,25110023316
2412412721,50024127,23210024127
1021000711,67010007,21140010007
3102210611,32022106,32111022106
2543130122,45031301,25120031301
2442330121,51023301,23510023301
2423130231,50031302,23310031302
2422211132,50022111,23320022111
2403360511,50033605,23110033605
2412431621,50024316,23210024316
2412540722,50025407,23220025407
2422540733,50025407,23330025407
2213200111,42032001,22123132001
2223200111,42032001,22133132001
2423130632,50031306,23320031306
3112310421,32023104,32211023104
3112320121,32023201,32211023201
3112320122,32023201,32221023201
3112310422,32023104,32221023104
3112310521,32023105,32211023105
3112310522,32023105,32221023105
3112300222,32023002,32221023002
3112320221,32023202,32211023202
3112320222,32023202,32221023202
3112330121,32023301,32211023301
3112330122,32023301,32221023301
3112270121,32022701,32211022701
3112270122,32022701,32221022701
3112270221,32022702,32211022702
3112270222,32022702,32221022702
3112270321,32022703,32211022703
3112270322,32022703,32221022703
3112550821,32025508,32211025508
3112550822,32025508,32221025508
3112230121,32022301,32211022301
3112230122,32022301,32221022301
3112230221,32022302,32211022302
3112230222,32022302,32221022302
3112230321,32022303,32211022303
3112230322,32022303,32221022303
3112230421,32022304,32211022304
3112230422,32022304,32221022304
3112230521,32022305,32211022305
2222420111,42024201,22133124201
2212420211,42024202,22123124202
2222420211,42024202,22133124202
2212420511,42024205,22123124205
2222420511,42024205,22133124205
2212420311,42024203,22123124203
2222420311,42024203,22133124203
2212430111,42024301,22123124301
2222430111,42024301,22133124301
2412541721,50025417,23210025417
2412541722,50025417,23220025417
2422541733,50025417,23330025417
2412541821,50025418,23210025418
2412541822,50025418,23220025418
2422541833,50025418,23330025418
2422540833,50025408,23330025408
3011200621,37012006,31111312006
2412234421,50022344,23210022344
2412234422,50022344,23220022344
2412234521,50022345,23210022345
2412234621,50022346,23210022346
2412234622,50022346,23220022346
2412234721,50022347,23210022347
2412234722,50022347,23220022347
2412234822,50022348,23220022348
2422340533,50023405,23330023405
2422340633,50023406,23330023406
2412235221,50022352,23210022352
2412235222,50022352,23220022352
2472130332,40021303,23820021303
7419990211,48199902,44210099902
7409990511,58199905,44110099905
1001000211,67010002,21110010002
2412343421,50023434,23210023434
2462550321,40025503,23710025503
2462240121,40022401,23710022401
2462240122,40022401,23720022401
2463220121,40032201,23710032201
2463220321,40032203,23710032203
2463220322,40032203,23720032203
2463220221,40032202,23710032202
2463220222,40032202,23720032202
2462500322,40025003,23720025003
2462220121,40022201,23710022201
2462220122,40022201,23720022201
2462250121,40022501,23710022501
2462210121,40022101,23710022101
2462210122,40022101,23720022101
2462400121,40024001,23710024001
2462400122,40024001,23720024001
2462340121,40023401,23710023401
2462340122,40023401,23720023401
2462340221,40023402,23710023402
2462340222,40023402,23720023402
2462000121,40020001,23710020001
2462000122,40020001,23720020001
2462300121,40023001,23710023001
2462300122,40023001,23720023001
2463240121,40032401,23710032401
2463240122,40032401,23720032401
2463140121,40031401,23710031401
2412550722,50025507,23220025507
2412550121,50025501,23210025501
2412550122,50025501,23220025501
2412550221,50025502,23210025502
2412550222,50025502,23220025502
2412550821,50025508,23210025508
2412550822,50025508,23220025508
2412550921,50025509,23210025509
2412550922,50025509,23220025509
2423120332,50031203,23320031203
2412551121,50025511,23210025511
2112200211,43022002,22122822002
2122200211,43022002,22132822002
2112220611,43022206,22122322206
2122220611,43022206,22132322206
2112220311,43022203,22122822203
2122220311,43022203,22132822203
2112220711,43022207,22122322207
2122220711,43022207,22132322207
2112220111,43022201,22122822201
2122220411,43022204,22132822204
2122220511,43022205,22132822205
1000131,70010001,11110010001
1000132,70010001,11120010001
1000133,70010001,11130010001
