Code_Scolarité,Code_Rome_1,Code_Rome_2,Code_Rome_3,Code_Rome_4,Code_Rome_5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,M1805,,,,
,J1102,K1403,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,K1403,,,
,J1102,,,,
,J1102,K1403,,,
,J1102,,,,
,J1102,,,,
,J1103,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,K2402,,,,
,J1102,J1201,K2402,,
,J1102,K2402,,,
,J1102,,,,
,J1102,,,,
,J1103,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,K2402,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1103,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1102,,,,
,J1201,K2402,,,
,J1102,,,,
,K1901,,,,
17021003,A1301,A1303,H1206,H1502,H2502
17025121,H1102,H1206,H1401,H1402,H2502
,H1102,H1206,K2402,M1302,M1402
17025501,H1206,M1802,M1805,,
17022002,H1102,H1206,H1402,H2502,M1703
17020032,H1102,H1206,K2402,M1302,M1402
,H1206,H1402,H1502,H2502,M1802
1701160B,H1206,H1302,H1502,H2502,
17011603,H1206,H1302,H1502,H2502,
,H1206,H1302,H1501,H1502,H2502
1702220M,H1206,H1302,H1502,H2502,K2402
1702220N,H1101,H1206,H1302,H2502,
17023402,F1106,H1102,H1206,H2502,N1301
,H1101,H1102,H1206,H1302,H2502
,K1703,N3101,,,
,H1102,H1206,H2502,M1402,M1802
,H1401,H1402,H1502,H2502,M1806
17022711,F1103,F1106,H1102,H1206,H2502
,K1703,,,,
1701160A,D1407,H1206,H1302,H2502,K2402
,H1206,H1302,H1502,,
17025512,H1102,H1206,M1802,M1804,M1805
1702000P,H1102,H1206,H1401,H1402,H2502
1702300U,C1503,F1103,F1106,F1201,F1204
1702550H,H1102,H1206,H2502,M1802,M1804
17023401,D1407,F1201,H1206,H1401,H2204
1703260E,M1801,M1802,M1803,M1805,
17025504,H1206,H1402,H1502,H2502,I1102
,H1402,H1502,H2502,M1102,M1402
17025119,H1203,H1206,H1402,H1502,H2502
17032613,M1801,M1802,M1805,M1806,M1810
17032608,M1801,M1802,M1804,M1805,M1806
,H1102,H1206,M1703,M1805,
17020046,N1301,N1302,,,
1703430B,A1303,F1106,I1101,K1401,K2302
17025401,H1301,H1402,H1404,H1506,H2502
,I1102,,,,
36033110,J1412,,,,
,J1104,J1502,,,
32025001,M1605,,,,
32022207,H1503,,,,
32022104,H1210,H1503,,,
32025005,H1203,H1209,,,
32033107,J1405,,,,
32033105,J1411,,,,
32033104,J1411,,,,
32122301,B1603,,,,
32132205,E1205,,,,
32132207,E1104,E1205,,,
32132206,B1402,,,,
32132208,E1205,,,,
32113301,E1104,E1205,,,
32132301,L1204,,,,
32124204,L1502,,,,
32123003,B1602,,,,
32123004,B1101,L1503,,,
