FORMATION_DIPLOME;NIVEAU_FORMATION_DIPLOME;GROUPE_SPECIALITE;LETTRE_SPECIALITE;ANCIEN_RECME;LIBELLE_COURT;LIBELLE_STAT_33;LIBELLE_LONG_200;DATE_OUVERTURE;DATE_FERMETURE;UNITE_CAPITALISABLE;DATE_PREMIERE_SESSION;DATE_DERNIERE_SESSION;DATE_ARRETE_CREATION;DATE_ARRETE_ABROGATION;DATE_ARRETE_MODIFICATION_1;DATE_ARRETE_MODIFICATION_2;DATE_ARRETE_MODIFICATION_3;DATE_ARRETE_MODIFICATION_4;DATE_ARRETE_MODIFICATION_5;DATE_ARRETE_MODIFICATION_6;DATE_ARRETE_MODIFICATION_7;DATE_ARRETE_MODIFICATION_8;DATE_ARRETE_MODIFICATION_9;DATE_ARRETE_MODIFICATION_10;COMMENTAIRE;NATURE_FORMATION_DIPLOME;GESTIONNAIRE_FORMATION_DIPLOME;DATE_INTERVENTION;ID_DOCUMENT;CITE_DOMAINE_FORMATION;NIVEAU_QUALIFICATION_RNCP
01022001;010;220;R;;MC4;AGT CONTROL.NON DESTRUCTIF (MC4);AGENT DE CONTROLE NON DESTRUCTIF (MC NIVEAU IV);01/09/1995;31/08/2024;N;1996;2024;09/10/1995;25/08/2023;14/12/2020;28/11/2023;;;;;;;;;CREATION EX NIHILO.;1;DGESCO A2-3;06/01/2024;;520;04
01022101;010;221;S;461901;MC4;EMPLOYE TRAITEUR (MC4);EMPLOYE TRAITEUR (MC4);13/11/1989;31/08/2002;N;1990;2001;13/11/1989;13/09/2000;26/10/1993;;;;;;;;;;MEME MC QUE CELLE DE NIVEAU 5 (01022103S) CREEE EN DOUBLE LORS DE L'ANCIENNE CODIFICATION.;1;DGESCO A2-3;10/12/2020;;541;04
01022102;010;221;S;521701;MC5;BOULANGERIE SPECIALISEE (MC5);BOULANGERIE SPECIALISEE (MC NIVEAU V);17/01/1992;31/08/2003;N;1992;2003;17/01/1992;16/04/2003;;;;;;;;;;;REMPLACEE PAR LA MC5 DE MÊME INTITULE (01022107S).;1;DGESCO A2-3;10/12/2020;;541;03
01022103;010;221;S;521901;MC3;EMPLOYE TRAITEUR (MC3);EMPLOYE TRAITEUR (MC NIVEAU III);13/11/1989;31/08/2024;N;1990;2024;13/11/1989;25/08/2023;26/10/1993;13/09/2000;10/05/2004;;;;;;;;;1;DGESCO A2-3;21/11/2023;;541;03
01022104;010;221;S;521702;MC5;PATIS.GLACE.CHOC.CONFIS.SP. (MC5);PATISSERIE, GLACERIE, CHOCOLATERIE, CONFISERIE SPECIALISEES (MC NIVEAU V);01/09/1994;31/08/2019;N;1995;2019;28/09/1994;09/04/2009;21/10/1999;09/04/2009;26/04/2016;;;;;;;;CREATION EX NIHILO.;1;DGESCO A2-3;10/12/2020;;541;03
01022105;010;221;S;;MC3;CUISINIER DESSERTS RESTAU. (MC3);CUISINIER EN DESSERTS DE RESTAURANT (MC NIVEAU III);01/09/1997;31/08/2024;N;1998;2024;31/07/1997;25/08/2023;04/04/2008;;;;;;;;;;CREATION EX NIHILO.;1;DGESCO A2-3;21/11/2023;;811;03
01022106;010;221;W;;MC3;VENDEUR SPEC. ALIMENTAT. (MC3);VENDEUR SPECIALISE EN ALIMENTATION (MC NIVEAU III);01/09/1997;31/08/2023;;1998;2022;17/09/1997;23/06/2022;;;;;;;;;;;CREATION EX NIHILO.;1;DGESCO A2-3;07/04/2023;;341;03
01022107;010;221;S;;MC3;BOULANGERIE SPECIALISEE (MC3);BOULANGERIE SPECIALISEE (MC NIVEAU III);01/09/2003;31/08/2024;;2004;2024;16/04/2003;25/08/2023;26/04/2016;;;;;;;;;;REMPLACE LA MC5 DE MÊME INTITULE (01022102S).;1;DGESCO A2-3;21/11/2023;;541;03
01022108;010;221;S;;MC3;PATISSERIE BOULANGERE (MC3);PATISSERIE BOULANGERE (MC NIVEAU III);01/09/2004;31/08/2024;;2005;2024;04/05/2004;25/08/2023;26/04/2016;;;;;;;;;;CREATION EX NIHILO.;1;DGESCO A2-3;21/11/2023;;541;03
01022109;010;221;T;;MC3;ART DE LA CUISINE ALLEGEE (MC3);ART DE LA CUISINE ALLEGEE (MC NIVEAU III);01/09/2006;31/08/2024;;2007;2024;24/03/2006;16/10/2023;;;;;;;;;;;CREATION EX NIHILO.;1;DGESCO A2-3;21/11/2023;;811;03
01022110;010;221;S;;MC3;PATIS.GLACE.CHOC.CONF.SPEC.(MC3);PATISSERIE, GLACERIE, CHOCOLATERIE, CONFISERIE SPECIALISEES (MC NIVEAU III);01/09/2019;31/08/2024;;2020;2024;09/04/2009;25/08/2023;;;;;;;;;;;;1;DGESCO A2-3;21/11/2023;;541;03
01022111;010;221;W;;MC3;VENDEUR-CONSEIL ALIMENTATION(MC3);VENDEUR-CONSEIL EN ALIMENTATION (MC NIVEAU III);01/09/2022;31/08/2024;;2023;2024;23/06/2022;25/08/2023;;;;;;;;;;;;1;DGESCO A2-3;21/11/2023;;;03
01022301;010;223;S;522302;MC5;ALUMINIUM PRODUITS SYNTHESE (MC5);ALUMINIUM PRODUITS DE SYNTHESE (MC NIVEAU V);06/08/1991;31/08/2006;N;1992;2005;06/08/1991;22/09/2004;;;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;521;03
